class,exp_correlation,exp_correlation,exp_correlation
1,0.012149,0.012149,0.012149
1,0.013919,0.013919,0.013919
1,0.010513,0.010513,0.010513
1,0.005533,0.005533,0.005533
1,0.037724,0.037724,0.037724
1,0.010190,0.010190,0.010190
1,0.015657,0.015657,0.015657
1,0.019102,0.019102,0.019102
1,0.007424,0.007424,0.007424
1,0.006552,0.006552,0.006552
1,0.005047,0.005047,0.005047
1,0.005345,0.005345,0.005345
1,0.006619,0.006619,0.006619
1,0.003855,0.003855,0.003855
2,0.037236,0.037236,0.037236
2,0.006600,0.006600,0.006600
2,0.011631,0.011631,0.011631
2,0.005925,0.005925,0.005925
2,0.006019,0.006019,0.006019
2,0.004765,0.004765,0.004765
2,0.011011,0.011011,0.011011
2,0.017548,0.017548,0.017548
2,0.006699,0.006699,0.006699
2,0.019345,0.019345,0.019345
2,0.009160,0.009160,0.009160
