You have specified parameters: threshold=mu+/-1.00*sigma #fea=400 selection method=MID #maxVar=10000 #maxSample=1000

Target classification variable (#1 column in the input data) has name=class 	entropy score=0.980

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
1 	 5 	 FEF25-75% 	 0.476
2 	 61 	 insp_5%_attenuation_value 	 0.476
3 	 32 	 exp_5%_attenuation_mean 	 0.457
4 	 24 	 exp_mean 	 0.457
5 	 3 	 FEV1/FVC 	 0.439
6 	 30 	 exp_5%_attenuation_value 	 0.439
7 	 63 	 insp_5%_attenuation_mean 	 0.439
8 	 31 	 exp_95%_attenuation_value 	 0.431
9 	 23 	 exp_emphysema 	 0.407
10 	 55 	 insp_mean 	 0.373
11 	 4 	 FEF_max 	 0.344
12 	 45 	 exp_run_length_nonuniformity 	 0.344
13 	 6 	 FEF50 	 0.326
14 	 92 	 diff_5%_attenuation_value 	 0.325
15 	 14 	 TLC_(Pleth) 	 0.321
16 	 76 	 insp_run_length_nonuniformity 	 0.316
17 	 26 	 exp_sum 	 0.316
18 	 57 	 insp_sum 	 0.291
19 	 75 	 insp_grey_level_nonuniformity 	 0.290
20 	 27 	 exp_skewness 	 0.288
21 	 53 	 insp_volume 	 0.288
22 	 22 	 exp_volume 	 0.288
23 	 8 	 MVV 	 0.269
24 	 28 	 exp_kurtosis 	 0.261
25 	 62 	 insp_95%_attenuation_value 	 0.255
26 	 54 	 insp_emphysema 	 0.250
27 	 49 	 exp_short_run_low_grey_level_emphasis 	 0.245
28 	 51 	 exp_long_run_low_grey_level_emphasis 	 0.245
29 	 47 	 exp_low_grey_level_run_emphasis 	 0.245
30 	 12 	 TGV 	 0.228
31 	 66 	 insp_entropy 	 0.206
32 	 19 	 VA 	 0.203
33 	 9 	 SVC 	 0.194
34 	 56 	 insp_sigma 	 0.190
35 	 90 	 diff_kurtosis 	 0.190
36 	 87 	 diff_sigma 	 0.186
37 	 82 	 insp_long_run_low_grey_level_emphasis 	 0.176
38 	 46 	 exp_run_percentage 	 0.176
39 	 80 	 insp_short_run_low_grey_level_emphasis 	 0.176
40 	 13 	 RV_(Pleth) 	 0.176
41 	 78 	 insp_low_grey_level_run_emphasis 	 0.176
42 	 15 	 RV/TLC 	 0.176
43 	 84 	 diff_volume 	 0.170
44 	 59 	 insp_kurtosis 	 0.159
45 	 97 	 diff_entropy 	 0.159
46 	 35 	 exp_entropy 	 0.159
47 	 58 	 insp_skewness 	 0.159
48 	 25 	 exp_sigma 	 0.155
49 	 86 	 diff_mean 	 0.152
50 	 44 	 exp_grey_level_nonuniformity 	 0.152
51 	 40 	 exp_cluster_prominence 	 0.132
52 	 11 	 ERV 	 0.122
53 	 81 	 insp_short_run_high_grey_level_emphasis 	 0.122
54 	 79 	 insp_high_grey_level_run_emphasis 	 0.122
55 	 83 	 insp_long_run_high_grey_level_emphasis 	 0.122
56 	 102 	 diff_cluster_prominence 	 0.118
57 	 17 	 DLCOcor 	 0.117
58 	 60 	 insp_entropy 	 0.115
59 	 68 	 insp_inverse_difference_moment 	 0.115
60 	 77 	 insp_run_percentage 	 0.113
61 	 20 	 Raw 	 0.113
62 	 85 	 diff_emphysema 	 0.106
63 	 113 	 diff_long_run_low_grey_level_emphasis 	 0.093
64 	 111 	 diff_short_run_low_grey_level_emphasis 	 0.093
65 	 109 	 diff_low_grey_level_run_emphasis 	 0.093
66 	 21 	 sGaw 	 0.087
67 	 101 	 diff_cluster_shade 	 0.087
68 	 1 	 FVC 	 0.076
69 	 39 	 exp_cluster_shade 	 0.073
70 	 64 	 insp_95%_attenuation_mean 	 0.073
71 	 10 	 IC 	 0.071
72 	 95 	 diff_95%_attenuation_mean 	 0.069
73 	 18 	 DL/VA 	 0.067
74 	 33 	 exp_95%_attenuation_mean 	 0.066
75 	 43 	 exp_long_run_emphasis 	 0.058
76 	 2 	 FEV1 	 0.056
77 	 108 	 diff_run_percentage 	 0.054
78 	 42 	 exp_short_run_emphasis 	 0.054
79 	 89 	 diff_skewness 	 0.043
80 	 16 	 DLCOunc 	 0.038
81 	 94 	 diff_5%_attenuation_mean 	 0.038
82 	 36 	 exp_correlation 	 0.036
83 	 69 	 insp_inertia 	 0.036
84 	 72 	 insp_Haralick's_correlation 	 0.033
85 	 41 	 exp_Haralick's_correlation 	 0.033
86 	 70 	 insp_cluster_shade 	 0.031
87 	 99 	 diff_inverse_difference_moment 	 0.027
88 	 38 	 exp_inertia 	 0.027
89 	 98 	 diff_correlation 	 0.026
90 	 71 	 insp_cluster_prominence 	 0.026
91 	 106 	 diff_grey_level_nonuniformity 	 0.019
92 	 7 	 FIF50 	 0.019
93 	 29 	 exp_entropy 	 0.019
94 	 91 	 diff_entropy 	 0.019
95 	 37 	 exp_inverse_difference_moment 	 0.019
96 	 88 	 diff_sum 	 0.019
97 	 34 	 exp_energy 	 0.013
98 	 107 	 diff_run_length_nonuniformity 	 0.010
99 	 93 	 diff_95%_attenuation_value 	 0.007
100 	 73 	 insp_short_run_emphasis 	 0.004
101 	 74 	 insp_long_run_emphasis 	 0.004
102 	 105 	 diff_long_run_emphasis 	 0.004
103 	 104 	 diff_short_run_emphasis 	 0.004
104 	 110 	 diff_high_grey_level_run_emphasis 	 0.003
105 	 114 	 diff_long_run_high_grey_level_emphasis 	 0.003
106 	 100 	 diff_inertia 	 0.003
107 	 112 	 diff_short_run_high_grey_level_emphasis 	 0.003
108 	 48 	 exp_high_grey_level_run_emphasis 	 0.003
109 	 96 	 diff_energy 	 0.003
110 	 65 	 insp_energy 	 0.003
111 	 50 	 exp_short_run_high_grey_level_emphasis 	 0.003
112 	 52 	 exp_long_run_high_grey_level_emphasis 	 0.003
113 	 103 	 diff_Haralick's_correlation 	 0.002

*** mRMR features *** 
Order 	 Fea 	 Name 	 Score
1 	 5 	 FEF25-75% 	 0.476
2 	 76 	 insp_run_length_nonuniformity 	 0.095
