id,alex-Volume-volume,alex-FirstOrder-mean,alex-FirstOrder-sigma,alex-FirstOrder-sum,alex-FirstOrder-skewness,alex-FirstOrder-kurtosis,alex-FirstOrder-entropy,alex-FirstOrder-5th%,alex-FirstOrder-95th%,alex-FirstOrder-5th%mean,alex-FirstOrder-95th%mean,alex-FirstOrder-min,alex-FirstOrder-max,alex-FirstOrder-median,alex-FirstOrder-void,alex-Cooccur-energy,alex-Cooccur-entropy,alex-Cooccur-inverseDifferenceMoment,alex-Cooccur-inertia,alex-Cooccur-clusterShade,alex-Cooccur-clusterProminence,alex-RLM-ShortRunEmphasis,alex-RLM-LongRunEmphasis,alex-RLM-GreyLevelNonuniformity,alex-RLM-RunLengthNonuniformity,alex-RLM-LowGreyLevelRunEmphasis,alex-RLM-HighGreyLevelRunEmphasis,alex-RLM-ShortRunLowGreyLevelEmphasis,alex-RLM-ShortRunHighGreyLevelEmphasis,alex-RLM-LongRunLowGreyLevelEmphasis,alex-RLM-LongRunHighGreyLevelEmphasis,maya-inner-Volume-volume,maya-inner-FirstOrder-mean,maya-inner-FirstOrder-sigma,maya-inner-FirstOrder-sum,maya-inner-FirstOrder-skewness,maya-inner-FirstOrder-kurtosis,maya-inner-FirstOrder-entropy,maya-inner-FirstOrder-5th%,maya-inner-FirstOrder-95th%,maya-inner-FirstOrder-5th%mean,maya-inner-FirstOrder-95th%mean,maya-inner-FirstOrder-min,maya-inner-FirstOrder-max,maya-inner-FirstOrder-median,maya-inner-FirstOrder-void,maya-inner-Cooccur-energy,maya-inner-Cooccur-entropy,maya-inner-Cooccur-inverseDifferenceMoment,maya-inner-Cooccur-inertia,maya-inner-Cooccur-clusterShade,maya-inner-Cooccur-clusterProminence,maya-inner-RLM-ShortRunEmphasis,maya-inner-RLM-LongRunEmphasis,maya-inner-RLM-GreyLevelNonuniformity,maya-inner-RLM-RunLengthNonuniformity,maya-inner-RLM-LowGreyLevelRunEmphasis,maya-inner-RLM-HighGreyLevelRunEmphasis,maya-inner-RLM-ShortRunLowGreyLevelEmphasis,maya-inner-RLM-ShortRunHighGreyLevelEmphasis,maya-inner-RLM-LongRunLowGreyLevelEmphasis,maya-inner-RLM-LongRunHighGreyLevelEmphasis,maya-outer-Volume-volume,maya-outer-FirstOrder-mean,maya-outer-FirstOrder-sigma,maya-outer-FirstOrder-sum,maya-outer-FirstOrder-skewness,maya-outer-FirstOrder-kurtosis,maya-outer-FirstOrder-entropy,maya-outer-FirstOrder-5th%,maya-outer-FirstOrder-95th%,maya-outer-FirstOrder-5th%mean,maya-outer-FirstOrder-95th%mean,maya-outer-FirstOrder-min,maya-outer-FirstOrder-max,maya-outer-FirstOrder-median,maya-outer-FirstOrder-void,maya-outer-Cooccur-energy,maya-outer-Cooccur-entropy,maya-outer-Cooccur-inverseDifferenceMoment,maya-outer-Cooccur-inertia,maya-outer-Cooccur-clusterShade,maya-outer-Cooccur-clusterProminence,maya-outer-RLM-ShortRunEmphasis,maya-outer-RLM-LongRunEmphasis,maya-outer-RLM-GreyLevelNonuniformity,maya-outer-RLM-RunLengthNonuniformity,maya-outer-RLM-LowGreyLevelRunEmphasis,maya-outer-RLM-HighGreyLevelRunEmphasis,maya-outer-RLM-ShortRunLowGreyLevelEmphasis,maya-outer-RLM-ShortRunHighGreyLevelEmphasis,maya-outer-RLM-LongRunLowGreyLevelEmphasis,maya-outer-RLM-LongRunHighGreyLevelEmphasis,maya-both-Volume-volume,maya-both-FirstOrder-mean,maya-both-FirstOrder-sigma,maya-both-FirstOrder-sum,maya-both-FirstOrder-skewness,maya-both-FirstOrder-kurtosis,maya-both-FirstOrder-entropy,maya-both-FirstOrder-5th%,maya-both-FirstOrder-95th%,maya-both-FirstOrder-5th%mean,maya-both-FirstOrder-95th%mean,maya-both-FirstOrder-min,maya-both-FirstOrder-max,maya-both-FirstOrder-median,maya-both-FirstOrder-void,maya-both-Cooccur-energy,maya-both-Cooccur-entropy,maya-both-Cooccur-inverseDifferenceMoment,maya-both-Cooccur-inertia,maya-both-Cooccur-clusterShade,maya-both-Cooccur-clusterProminence,maya-both-RLM-ShortRunEmphasis,maya-both-RLM-LongRunEmphasis,maya-both-RLM-GreyLevelNonuniformity,maya-both-RLM-RunLengthNonuniformity,maya-both-RLM-LowGreyLevelRunEmphasis,maya-both-RLM-HighGreyLevelRunEmphasis,maya-both-RLM-ShortRunLowGreyLevelEmphasis,maya-both-RLM-ShortRunHighGreyLevelEmphasis,maya-both-RLM-LongRunLowGreyLevelEmphasis,maya-both-RLM-LongRunHighGreyLevelEmphasis
1,4.1454e-01,5.1748e-01,1.0000e+00,8.2726e-01,3.1482e-01,1.0257e-01,4.5155e-01,3.7120e-01,8.7490e-01,4.9233e-01,7.4574e-01,0.0000e+00,6.5771e-01,3.6129e-01,NaN,1.6738e-01,5.9066e-01,2.8940e-01,3.0321e-01,1.5062e-01,7.5943e-02,9.9944e-01,6.0083e-04,2.4811e-01,2.0578e-01,2.4140e-01,1.2386e-01,2.4301e-01,1.6406e-01,2.4067e-01,6.2650e-02,2.7816e-01,6.3083e-01,9.1860e-01,8.3311e-01,2.7839e-01,1.4652e-01,8.1542e-01,4.1744e-01,9.2906e-01,5.6392e-01,7.9042e-01,0.0000e+00,1.7523e-01,5.2226e-01,NaN,4.7979e-02,3.6684e-01,1.0398e-01,9.2668e-01,7.6327e-01,7.0927e-01,3.3527e-01,3.1627e-01,7.0224e-02,2.1051e-01,5.1891e-02,4.9965e-01,3.5782e-02,3.7790e-01,5.1832e-02,4.7177e-01,3.6058e-01,5.4364e-01,9.9945e-01,7.8354e-01,3.3185e-01,7.4132e-02,7.7329e-01,4.0578e-01,9.1936e-01,5.3764e-01,7.5806e-01,0.0000e+00,2.9431e-01,3.6320e-01,NaN,4.9486e-02,5.8471e-01,1.2877e-01,5.5632e-01,6.7448e-01,5.7825e-01,4.9960e-01,4.9956e-01,9.5749e-02,2.5874e-01,1.0200e-01,4.7426e-01,7.8425e-02,3.5442e-01,1.9801e-01,3.2653e-01,3.5055e-01,5.4624e-01,9.5166e-01,8.1266e-01,3.2907e-01,8.9651e-02,7.6020e-01,4.1179e-01,9.1689e-01,5.4250e-01,7.4896e-01,0.0000e+00,2.9431e-01,3.7815e-01,NaN,4.8542e-02,6.0472e-01,1.2701e-01,5.5610e-01,6.3873e-01,5.3259e-01,4.9960e-01,4.9951e-01,9.0350e-02,2.1939e-01,8.4985e-02,4.3669e-01,6.5812e-02,3.5122e-01,1.6198e-01,3.0012e-01
2,4.0903e-01,6.1077e-01,6.1558e-01,8.4137e-01,3.7296e-01,1.5107e-01,8.2347e-01,9.0618e-01,8.1063e-01,5.2609e-01,4.7783e-01,0.0000e+00,1.5992e-01,4.9729e-01,NaN,4.3378e-02,4.1815e-01,1.2062e-01,5.1140e-01,1.0000e+00,7.9735e-01,9.9973e-01,2.7606e-04,1.3265e-01,2.1075e-01,1.2207e-03,6.2138e-01,3.4015e-03,8.2344e-01,0.0000e+00,3.1371e-01,9.9484e-02,7.4121e-01,8.1922e-01,9.4859e-01,2.4211e-01,1.0858e-01,7.2504e-01,6.1355e-01,9.4308e-01,4.7991e-01,5.2295e-01,0.0000e+00,2.0135e-01,6.4722e-01,NaN,8.7454e-02,5.3837e-01,1.8164e-01,3.8558e-01,5.9346e-01,4.8891e-01,3.3512e-01,3.1655e-01,2.0246e-02,8.0467e-02,5.9094e-03,5.3664e-01,4.5774e-03,4.0574e-01,5.4402e-03,5.0609e-01,2.0142e-01,5.3324e-01,4.8991e-01,8.8984e-01,4.9455e-01,2.0787e-01,7.3929e-01,7.6526e-01,6.8426e-01,5.1190e-01,1.4419e-01,0.0000e+00,1.1422e-01,4.8210e-01,NaN,5.2692e-02,7.4102e-01,1.4206e-01,3.4973e-01,7.3615e-01,6.8875e-01,9.9780e-01,2.2751e-03,5.8956e-02,1.2218e-01,3.4825e-03,6.4728e-01,5.1001e-03,6.4678e-01,0.0000e+00,2.2235e-01,1.7015e-01,5.5695e-01,4.7699e-01,9.2374e-01,4.5164e-01,1.9307e-01,7.5569e-01,7.3156e-01,7.2354e-01,5.0286e-01,1.6796e-01,0.0000e+00,1.1422e-01,5.0195e-01,NaN,4.6995e-02,7.3676e-01,1.3444e-01,3.7310e-01,7.6053e-01,7.0491e-01,9.9787e-01,2.1993e-03,4.1992e-02,8.0661e-02,3.2134e-03,6.3458e-01,4.9663e-03,6.8279e-01,0.0000e+00,2.1744e-01
3,5.3405e-01,3.2054e-01,3.6845e-01,7.1749e-01,6.2775e-01,4.1959e-01,3.1797e-01,5.7177e-01,5.5641e-01,7.5911e-01,1.9032e-01,0.0000e+00,4.1136e-01,1.9467e-01,NaN,3.7961e-01,6.0774e-01,5.9628e-01,9.3089e-02,2.8193e-01,1.6495e-01,9.9948e-01,6.0625e-04,4.2185e-01,2.8287e-01,2.3585e-02,1.3036e-01,2.5720e-02,1.7247e-01,2.2381e-02,6.6341e-02,2.8356e-01,3.6733e-01,1.3265e-01,7.9449e-01,7.3947e-01,6.2730e-01,4.6220e-01,4.4769e-01,2.7605e-01,7.1665e-01,1.8994e-01,1.2500e-01,0.0000e+00,3.9582e-01,NaN,2.2605e-01,8.8412e-01,4.0555e-01,2.4786e-01,4.0740e-01,4.2913e-01,4.6733e-01,2.5433e-01,1.5700e-01,2.1814e-01,8.1718e-03,3.1014e-01,8.6422e-03,3.1666e-01,5.8384e-03,2.4952e-01,3.0983e-01,2.3423e-01,1.3415e-01,7.3282e-01,6.7005e-01,4.3541e-01,6.5271e-01,4.6047e-01,2.1052e-01,6.9787e-01,1.4221e-01,1.7647e-01,0.0000e+00,2.4367e-01,NaN,9.1384e-02,8.3150e-01,2.7132e-01,2.7410e-01,5.6798e-01,5.9726e-01,9.9584e-01,4.4211e-03,1.1643e-01,2.1901e-01,7.2907e-03,4.2736e-01,8.9022e-03,4.2696e-01,3.8037e-03,1.4691e-01,3.1239e-01,2.5216e-01,5.2614e-02,7.6522e-01,6.9243e-01,4.8902e-01,6.4876e-01,4.5571e-01,2.2124e-01,7.0135e-01,1.4155e-01,1.7647e-01,0.0000e+00,2.5370e-01,NaN,8.7187e-02,8.5734e-01,2.6751e-01,2.9005e-01,5.9794e-01,6.3567e-01,9.9573e-01,4.5437e-03,1.1203e-01,1.9445e-01,6.1690e-03,4.1597e-01,7.9275e-03,4.4748e-01,2.8952e-03,1.4266e-01
4,1.0000e+00,9.8572e-02,4.3070e-01,5.9758e-01,7.7183e-01,6.6002e-01,5.7042e-02,8.6322e-03,3.6968e-01,6.5170e-03,1.6498e-01,0.0000e+00,7.2644e-01,9.1453e-03,NaN,3.9868e-01,6.9671e-01,3.6075e-01,1.7960e-01,9.0167e-02,4.4665e-02,9.9974e-01,3.1936e-04,6.8773e-01,3.4781e-01,9.3427e-01,7.0739e-03,9.3430e-01,9.3711e-03,9.3599e-01,3.5736e-03,5.5216e-01,9.9060e-02,4.1236e-01,7.1150e-01,8.8745e-01,7.9189e-01,5.4225e-02,7.9002e-03,1.8069e-01,6.1261e-03,1.1640e-01,0.0000e+00,7.2873e-01,3.6529e-02,NaN,3.7652e-01,1.0000e+00,3.1783e-01,2.1856e-01,3.2072e-02,4.0472e-02,3.3480e-01,3.1743e-01,3.3233e-01,2.6794e-01,1.0000e+00,2.0565e-03,6.8158e-01,0.0000e+00,1.0000e+00,1.9681e-02,5.8279e-01,3.5088e-02,2.0721e-01,6.5362e-01,9.5645e-01,8.3463e-01,4.6884e-01,0.0000e+00,5.0929e-02,0.0000e+00,7.4890e-02,0.0000e+00,1.5545e-01,4.4800e-02,NaN,9.0732e-02,9.6056e-01,1.2942e-01,5.4071e-01,3.4895e-01,3.6509e-01,9.9767e-01,2.6892e-03,1.9302e-01,2.4561e-01,9.7897e-01,1.3493e-01,9.7503e-01,1.3504e-01,1.0000e+00,4.6027e-02,6.1002e-01,4.6588e-02,1.7173e-01,6.8348e-01,9.6330e-01,8.5797e-01,2.7997e-01,7.0900e-03,7.2342e-02,2.5970e-03,7.5197e-02,0.0000e+00,4.0758e-01,2.5097e-02,NaN,1.6793e-01,9.9329e-01,2.1649e-01,2.7634e-01,1.2836e-01,1.0439e-01,9.9614e-01,4.3663e-03,2.8025e-01,2.2904e-01,1.0000e+00,5.4305e-02,1.0000e+00,5.8564e-02,1.0000e+00,1.8412e-02
5,4.9513e-01,3.2848e-01,6.7132e-01,7.8392e-01,4.8527e-01,3.0458e-01,2.8752e-01,1.6503e-01,6.5631e-01,2.4467e-01,3.9104e-01,0.0000e+00,7.5502e-01,2.6359e-01,NaN,1.8835e-01,6.8026e-01,2.0010e-01,2.6078e-01,7.6945e-02,3.4155e-02,9.9967e-01,3.4101e-04,3.2773e-01,2.1351e-01,3.8654e-01,4.5075e-02,3.8784e-01,5.9744e-02,3.8602e-01,2.2731e-02,3.0903e-01,4.5034e-01,7.7097e-01,8.2042e-01,3.3380e-01,2.2611e-01,7.3943e-01,1.4351e-01,6.7929e-01,2.4504e-01,1.1875e-01,0.0000e+00,2.7211e-01,3.9058e-01,NaN,3.7463e-02,6.5199e-01,4.2016e-02,9.3034e-01,4.0775e-01,3.7007e-01,2.6885e-01,3.4813e-01,7.1014e-02,2.0188e-01,2.7094e-01,2.8181e-01,1.5976e-01,1.7390e-01,2.8797e-01,2.9757e-01,4.2201e-01,3.0798e-01,6.1790e-01,7.1969e-01,5.0419e-01,2.4250e-01,6.9929e-01,1.5820e-01,5.5457e-01,2.4027e-01,8.5073e-02,0.0000e+00,2.4597e-01,2.4620e-01,NaN,3.9117e-02,7.8336e-01,5.9792e-02,6.7917e-01,4.5652e-01,3.9429e-01,5.0037e-01,4.9823e-01,1.1034e-01,2.5650e-01,3.2174e-01,2.9338e-01,2.4765e-01,2.1554e-01,6.1377e-01,2.0688e-01,4.0835e-01,3.2575e-01,5.8508e-01,7.6505e-01,4.7722e-01,2.4508e-01,7.0704e-01,1.5405e-01,5.6883e-01,2.4030e-01,8.3626e-02,0.0000e+00,2.4597e-01,2.5634e-01,NaN,3.5507e-02,8.0562e-01,5.5862e-02,6.9592e-01,4.5180e-01,3.8802e-01,5.0041e-01,4.9812e-01,9.5657e-02,2.1500e-01,2.8588e-01,2.8503e-01,2.2108e-01,2.2585e-01,5.3439e-01,2.0004e-01
6,5.6998e-01,2.4246e-01,7.7586e-01,0.0000e+00,5.9389e-01,3.4011e-01,5.1773e-01,4.4456e-02,7.6385e-01,4.8412e-02,5.7974e-01,0.0000e+00,3.6441e-01,1.0896e-01,NaN,1.2428e-01,5.7044e-01,1.5917e-01,4.7937e-01,6.1834e-01,4.2152e-01,1.0000e+00,0.0000e+00,9.2781e-01,1.0000e+00,6.0866e-01,1.6206e-01,6.0954e-01,2.1484e-01,6.0808e-01,8.1682e-02,3.4431e-01,2.1693e-01,4.9422e-01,1.9034e-01,6.6849e-01,5.4536e-01,4.8195e-01,6.4650e-02,3.5933e-01,7.6236e-02,5.2664e-01,0.0000e+00,2.5105e-01,1.6289e-01,NaN,1.2231e-01,9.5587e-01,1.5108e-01,4.9048e-01,4.0794e-01,4.1003e-01,1.0000e+00,0.0000e+00,5.4454e-01,8.1193e-01,6.1859e-01,1.4498e-01,1.0000e+00,3.5297e-01,1.8635e-01,0.0000e+00,2.3039e-01,2.1627e-01,5.9490e-01,1.6009e-01,6.5838e-01,3.5213e-01,4.2293e-01,9.2746e-02,5.2472e-01,9.9869e-02,3.8626e-01,0.0000e+00,5.0332e-01,1.6087e-01,NaN,1.4030e-01,8.9178e-01,2.1203e-01,2.0564e-01,2.3439e-01,1.6131e-01,9.9767e-01,2.3988e-03,5.5956e-01,8.0938e-01,7.2390e-01,1.1441e-01,7.2383e-01,1.1448e-01,7.2128e-01,3.9058e-02,2.6890e-01,2.0538e-01,5.0967e-01,1.7282e-01,6.7080e-01,3.9857e-01,4.0309e-01,8.3027e-02,4.8104e-01,8.7084e-02,3.8536e-01,0.0000e+00,5.0332e-01,1.6750e-01,NaN,1.4205e-01,9.2091e-01,2.1363e-01,2.0393e-01,2.1248e-01,1.4597e-01,9.9753e-01,2.5488e-03,5.9540e-01,8.0496e-01,6.6164e-01,1.0025e-01,6.6418e-01,1.0801e-01,6.4654e-01,3.4135e-02
7,5.0930e-01,5.9672e-01,3.4667e-01,8.1200e-01,2.4645e-01,1.5677e-01,7.7452e-01,8.6999e-01,5.8204e-01,8.8958e-01,1.2761e-01,0.0000e+00,2.1776e-01,6.2934e-01,NaN,7.5640e-02,6.8092e-01,2.9330e-01,3.6602e-01,3.1204e-01,2.8957e-01,4.9975e-01,5.0033e-01,1.4338e-01,2.4452e-01,4.4818e-03,4.5380e-01,3.4410e-03,4.4333e-01,1.6163e-02,4.6976e-01,3.0543e-01,7.4151e-01,6.0302e-01,8.4017e-01,7.6514e-02,4.9830e-02,8.8927e-01,6.5353e-01,6.8668e-01,8.2581e-01,1.4441e-01,1.6667e-01,7.5821e-03,6.6259e-01,NaN,9.6936e-02,5.4985e-02,2.7637e-01,5.0964e-01,4.8172e-01,4.9301e-01,2.6837e-01,3.4969e-01,5.9257e-02,2.1695e-01,2.3335e-03,7.4301e-01,1.4477e-03,4.7608e-01,2.4819e-03,7.4755e-01,4.2128e-01,6.0344e-01,4.1248e-01,7.7687e-01,1.7855e-01,7.4586e-02,8.2120e-01,7.5904e-01,5.3945e-01,8.5565e-01,9.9542e-02,4.1176e-01,1.0284e-01,6.7289e-01,NaN,4.8988e-02,7.5369e-01,2.2229e-01,3.3778e-01,2.4863e-01,3.2968e-01,4.9851e-01,5.0137e-01,6.9465e-02,2.8856e-01,1.8219e-03,7.2935e-01,1.6831e-03,5.5037e-01,5.2934e-03,4.9496e-01,4.0665e-01,6.1334e-01,3.8158e-01,8.1052e-01,1.7144e-01,7.2751e-02,8.2512e-01,7.3551e-01,5.5775e-01,8.4896e-01,9.9228e-02,4.1176e-01,1.0284e-01,6.3414e-01,NaN,5.0286e-02,7.3525e-01,2.2241e-01,3.5063e-01,2.8407e-01,3.3961e-01,4.9846e-01,5.0144e-01,6.2011e-02,2.4232e-01,1.8152e-03,6.9253e-01,1.8769e-03,5.6283e-01,5.1444e-03,4.6867e-01
8,7.3030e-01,2.4125e-01,6.0975e-01,4.9781e-01,5.5744e-01,3.6422e-01,5.1286e-02,1.4247e-01,5.6069e-01,2.9122e-01,3.2383e-01,0.0000e+00,1.0000e+00,9.6795e-02,NaN,5.1732e-01,7.0810e-01,5.0626e-01,8.2245e-02,1.8863e-02,4.8033e-03,9.9962e-01,4.1138e-04,9.1647e-01,4.8898e-01,5.2193e-01,0.0000e+00,5.2299e-01,0.0000e+00,5.2126e-01,0.0000e+00,5.1134e-01,3.3808e-01,7.4744e-01,5.5374e-01,4.5125e-01,2.9835e-01,2.2129e-01,1.4369e-01,6.2021e-01,3.1703e-01,4.0867e-01,0.0000e+00,1.0000e+00,2.0295e-01,NaN,3.3876e-01,7.9486e-01,3.7089e-01,1.3684e-01,0.0000e+00,0.0000e+00,4.6750e-01,2.5417e-01,4.6436e-01,4.6892e-01,3.3470e-01,3.1961e-02,2.9167e-01,4.8142e-02,2.8648e-01,3.1328e-02,5.5336e-01,2.4186e-01,5.6571e-01,4.0714e-01,5.3899e-01,2.6088e-01,3.0007e-01,1.7439e-01,4.7680e-01,3.3221e-01,2.6011e-01,0.0000e+00,7.6872e-01,1.4385e-01,NaN,2.4676e-01,8.8638e-01,3.3925e-01,1.2328e-01,5.2203e-02,2.3271e-02,9.9561e-01,4.7922e-03,5.1782e-01,5.6266e-01,3.7747e-01,5.9660e-02,3.7872e-01,5.9705e-02,3.7259e-01,2.0345e-02,5.7425e-01,2.5253e-01,5.3670e-01,4.6301e-01,5.3470e-01,2.8025e-01,3.0782e-01,1.6538e-01,4.9527e-01,3.2618e-01,2.6629e-01,0.0000e+00,7.6872e-01,1.4978e-01,NaN,2.3147e-01,8.9327e-01,3.2828e-01,1.3047e-01,5.5924e-02,2.5667e-02,9.9557e-01,4.8395e-03,4.9505e-01,5.1807e-01,3.4795e-01,5.8433e-02,3.5049e-01,6.2963e-02,3.3721e-01,1.9885e-02
9,7.3201e-01,2.1127e-01,6.6751e-01,6.9428e-01,6.0992e-01,4.4958e-01,2.0994e-01,0.0000e+00,6.2316e-01,0.0000e+00,4.8554e-01,0.0000e+00,7.5638e-01,1.0060e-01,NaN,2.0424e-01,7.5340e-01,1.5824e-01,3.4629e-01,1.0021e-01,4.8224e-02,9.9978e-01,2.2193e-04,4.4690e-01,2.8077e-01,1.0000e+00,2.6802e-02,1.0000e+00,3.5563e-02,1.0000e+00,1.3452e-02,3.3488e-01,3.2365e-01,8.1327e-01,8.2497e-01,4.4596e-01,3.1829e-01,6.0780e-01,0.0000e+00,6.3308e-01,0.0000e+00,3.4117e-01,0.0000e+00,3.8163e-01,2.3054e-01,NaN,5.7716e-02,9.4293e-01,4.0851e-02,9.6792e-01,3.6221e-01,3.3444e-01,4.6843e-01,2.5274e-01,8.2066e-02,1.8214e-01,9.0145e-01,1.7659e-01,7.8396e-01,1.8806e-01,7.7031e-01,1.4421e-01,5.5998e-01,1.6644e-01,4.9695e-01,6.4469e-01,6.8549e-01,4.5534e-01,5.9313e-01,4.1400e-03,3.2974e-01,3.6222e-03,1.2960e-01,0.0000e+00,2.4787e-01,1.6855e-01,NaN,4.9168e-02,9.2374e-01,4.4521e-02,8.2436e-01,3.9682e-01,3.7800e-01,9.9911e-01,9.1972e-04,1.5864e-01,2.9224e-01,1.0000e+00,1.9324e-01,1.0000e+00,1.9339e-01,9.9445e-01,6.5928e-02,5.2466e-01,1.8949e-01,4.8502e-01,7.1568e-01,6.4472e-01,4.3487e-01,6.1421e-01,0.0000e+00,3.7357e-01,0.0000e+00,1.4032e-01,0.0000e+00,2.4787e-01,1.7549e-01,NaN,4.3266e-02,9.4856e-01,4.0472e-02,8.4930e-01,4.2415e-01,4.0187e-01,9.9912e-01,9.0874e-04,1.2913e-01,2.3326e-01,8.8853e-01,1.9697e-01,8.9215e-01,2.1224e-01,8.6545e-01,6.7064e-02
10,4.8907e-01,5.9085e-01,5.0217e-01,8.0842e-01,3.2267e-01,1.5383e-01,4.5100e-01,8.7347e-01,7.2731e-01,9.2042e-01,3.4277e-01,0.0000e+00,5.1888e-01,4.6224e-01,NaN,2.3463e-01,8.2191e-01,4.9122e-01,1.1611e-01,1.1583e-01,6.5144e-02,9.9933e-01,7.4157e-04,2.7399e-01,2.4738e-01,1.4104e-02,1.7693e-01,1.6258e-02,2.3431e-01,1.2894e-02,8.9628e-02,2.2185e-01,7.9809e-01,8.0693e-01,8.8583e-01,1.7848e-01,7.8181e-02,9.1534e-01,6.5944e-01,9.4743e-01,8.5522e-01,5.0733e-01,8.3333e-02,1.7692e-02,6.9974e-01,NaN,5.9753e-02,3.1367e-01,2.2735e-01,5.7038e-01,9.6857e-01,9.5485e-01,4.6785e-01,2.5355e-01,3.2840e-02,1.6653e-01,1.3258e-03,8.5067e-01,2.6827e-03,8.3890e-01,0.0000e+00,6.7262e-01,3.6174e-01,5.5636e-01,5.0000e-01,7.8857e-01,3.1834e-01,9.7620e-02,7.4205e-01,7.4130e-01,6.1825e-01,8.7773e-01,7.6510e-02,2.3529e-01,1.6445e-01,4.7946e-01,NaN,7.4648e-02,6.7865e-01,2.5069e-01,2.7417e-01,3.8467e-01,3.3753e-01,9.9627e-01,3.9908e-03,9.4547e-02,2.5576e-01,3.8083e-03,5.7002e-01,5.4249e-03,5.6943e-01,3.3341e-04,1.9603e-01,3.3398e-01,5.8407e-01,4.8644e-01,8.3385e-01,3.0734e-01,1.0430e-01,7.5449e-01,7.2395e-01,6.6019e-01,8.7374e-01,7.7339e-02,2.3529e-01,1.6445e-01,4.9921e-01,NaN,6.7811e-02,6.7549e-01,2.4183e-01,2.9114e-01,4.3009e-01,3.7512e-01,9.9624e-01,4.0221e-03,7.7410e-02,2.0249e-01,3.3491e-03,5.6197e-01,5.0993e-03,6.0446e-01,1.5003e-04,1.9284e-01
