correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
insp-aero(<-50),-0.05,-0.50,-0.76,-0.33,-0.51,-0.42,0.09,-0.36,0.23,-0.01,0.55,0.40,0.34,0.30,0.19,0.18,0.68,0.09,0.30,0.43,0.11
exp-aero(<-50),-0.27,-0.66,-0.79,-0.46,-0.61,-0.54,-0.08,-0.52,0.10,-0.15,0.44,0.39,0.36,0.24,0.21,0.09,0.64,0.01,0.17,0.34,0.01
severe(<-910),-0.28,-0.77,-0.89,-0.69,-0.70,-0.62,-0.10,-0.67,0.06,-0.21,0.43,0.41,0.38,0.25,0.28,-0.13,0.71,-0.15,0.10,0.40,0.17
nonsevere(aero-severe),0.41,0.49,0.25,0.66,0.35,0.37,0.33,0.55,0.30,0.35,0.19,-0.02,-0.08,0.09,-0.16,0.54,-0.06,0.42,0.36,0.04,-0.11
dyn-25,-0.47,-0.69,-0.68,-0.51,-0.60,-0.58,-0.30,-0.57,-0.02,-0.25,0.32,0.38,0.40,0.19,0.24,0.04,0.57,-0.02,0.06,0.23,-0.08
dyn-50,-0.38,-0.62,-0.61,-0.40,-0.67,-0.67,-0.34,-0.49,0.04,-0.16,0.34,0.37,0.38,0.22,0.21,0.19,0.46,0.12,0.12,0.24,-0.10
dyn-75,-0.22,-0.46,-0.49,-0.19,-0.63,-0.64,-0.29,-0.33,0.07,-0.06,0.28,0.32,0.33,0.22,0.17,0.30,0.32,0.23,0.16,0.17,-0.17
dyn-100,-0.10,-0.33,-0.39,-0.05,-0.57,-0.58,-0.23,-0.20,0.10,0.01,0.23,0.27,0.28,0.21,0.13,0.36,0.23,0.27,0.17,0.12,-0.19
dyn-125,-0.03,-0.25,-0.34,0.02,-0.52,-0.53,-0.20,-0.13,0.11,0.05,0.20,0.24,0.25,0.20,0.10,0.37,0.18,0.28,0.17,0.10,-0.18
dyn-150,0.02,-0.19,-0.30,0.07,-0.48,-0.48,-0.17,-0.08,0.12,0.08,0.18,0.21,0.22,0.18,0.08,0.37,0.15,0.28,0.17,0.09,-0.17
dyn-175,0.06,-0.15,-0.27,0.11,-0.45,-0.45,-0.15,-0.05,0.12,0.10,0.17,0.19,0.20,0.17,0.06,0.37,0.13,0.28,0.17,0.08,-0.16
dyn-200,0.08,-0.12,-0.24,0.13,-0.42,-0.42,-0.13,-0.02,0.13,0.11,0.16,0.17,0.18,0.16,0.04,0.37,0.11,0.28,0.17,0.07,-0.15
dyn-225,0.10,-0.09,-0.22,0.15,-0.40,-0.40,-0.12,-0.00,0.13,0.12,0.15,0.16,0.16,0.16,0.03,0.37,0.10,0.28,0.17,0.07,-0.14
dyn-250,0.12,-0.07,-0.21,0.17,-0.38,-0.38,-0.11,0.01,0.13,0.13,0.15,0.15,0.15,0.15,0.02,0.36,0.09,0.27,0.17,0.07,-0.13
dyn-275,0.13,-0.06,-0.20,0.18,-0.37,-0.37,-0.10,0.02,0.14,0.13,0.15,0.14,0.14,0.15,0.01,0.36,0.09,0.27,0.17,0.07,-0.13
dyn-300,0.14,-0.05,-0.19,0.18,-0.36,-0.36,-0.10,0.03,0.14,0.14,0.14,0.13,0.13,0.14,0.01,0.36,0.08,0.27,0.17,0.07,-0.12
