correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
insp-aero(<-50),0.82,0.78,-0.31,0.41,0.07,0.16,0.30,0.47,0.80,0.60,0.28,0.53,0.38,0.64,-0.28,0.75,0.28,0.61,0.67,-0.12,-0.01
exp-aero(<-50),0.76,0.76,-0.21,0.35,0.16,0.30,0.28,0.54,0.76,0.57,0.27,0.50,0.38,0.59,-0.21,0.69,0.04,0.50,0.63,-0.24,-0.17
severe(<-910),0.53,0.40,-0.42,0.41,-0.15,-0.11,0.01,0.35,0.51,0.30,0.32,0.44,0.25,0.43,-0.15,0.37,0.84,0.30,0.41,-0.01,-0.02
nonsevere(aero-severe),0.76,0.77,-0.19,0.32,0.15,0.24,0.36,0.42,0.75,0.60,0.20,0.45,0.36,0.59,-0.27,0.75,-0.03,0.61,0.63,-0.14,-0.01
dyn-25,-0.04,-0.02,-0.00,0.11,0.01,0.02,-0.26,0.18,-0.03,-0.10,0.02,0.05,-0.02,0.01,0.04,-0.06,-0.12,-0.11,0.09,-0.28,0.13
dyn-50,0.23,0.32,0.13,0.27,0.38,0.42,0.06,0.44,0.24,0.13,0.18,0.08,0.03,0.12,-0.05,0.08,-0.18,-0.01,0.18,-0.36,-0.26
dyn-75,0.36,0.45,0.16,0.19,0.43,0.54,0.26,0.47,0.37,0.29,0.19,0.19,0.18,0.23,-0.02,0.25,-0.26,0.12,0.26,-0.27,-0.42
dyn-100,0.46,0.54,0.10,0.13,0.35,0.51,0.33,0.41,0.46,0.40,0.15,0.26,0.28,0.33,-0.05,0.44,-0.29,0.27,0.31,-0.19,-0.47
dyn-125,0.54,0.59,0.02,0.12,0.28,0.45,0.36,0.36,0.54,0.47,0.16,0.30,0.30,0.39,-0.11,0.53,-0.24,0.35,0.36,-0.14,-0.45
dyn-150,0.60,0.64,-0.05,0.14,0.23,0.40,0.38,0.35,0.61,0.52,0.18,0.34,0.33,0.44,-0.15,0.60,-0.18,0.42,0.41,-0.11,-0.41
