correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
aero(insp) (<-50),0.33,-0.27,-0.70,-0.14,-0.35,-0.33,0.22,-0.19,0.57,0.07,0.81,0.69,0.46,0.83,0.02,0.05,0.95,-0.32,0.61,0.29,0.09
aero(exp) (<-50),0.05,-0.48,-0.77,-0.25,-0.47,-0.47,-0.02,-0.39,0.38,-0.13,0.74,0.84,0.67,0.90,0.24,0.03,0.90,-0.31,0.54,0.44,-0.02
severe(<-960),-0.04,-0.54,-0.77,-0.51,-0.45,-0.46,-0.04,-0.56,0.04,-0.40,0.48,0.59,0.49,0.49,0.34,-0.54,0.20,-0.72,0.11,0.33,0.18
nonsevere(aero-severe),0.47,0.03,-0.38,0.19,-0.14,-0.11,0.32,0.15,0.68,0.31,0.72,0.51,0.29,0.74,-0.17,0.41,0.95,0.05,0.72,0.16,0.01
dyn-5,-0.14,-0.53,-0.71,-0.41,-0.42,-0.43,-0.13,-0.48,0.25,-0.25,0.65,0.85,0.73,0.86,0.31,-0.14,0.56,-0.39,0.30,0.57,-0.10
dyn-25,-0.03,-0.55,-0.77,-0.40,-0.51,-0.51,-0.11,-0.48,0.35,-0.21,0.77,0.90,0.72,0.93,0.28,-0.11,0.80,-0.40,0.43,0.55,0.02
dyn-50,0.03,-0.52,-0.70,-0.36,-0.60,-0.60,-0.15,-0.44,0.37,-0.08,0.67,0.80,0.65,0.88,0.26,0.08,0.88,-0.19,0.46,0.40,0.07
dyn-75,0.14,-0.39,-0.57,-0.21,-0.56,-0.54,-0.10,-0.27,0.39,0.03,0.57,0.67,0.54,0.79,0.20,0.28,0.88,0.06,0.47,0.34,0.02
dyn-100,0.27,-0.19,-0.42,-0.03,-0.39,-0.38,0.01,-0.07,0.44,0.13,0.56,0.56,0.42,0.71,0.08,0.42,0.86,0.20,0.51,0.27,-0.01
dyn-125,0.37,-0.05,-0.31,0.10,-0.26,-0.25,0.11,0.07,0.50,0.20,0.57,0.48,0.32,0.66,-0.03,0.49,0.85,0.26,0.55,0.21,-0.02
dyn-150,0.43,0.05,-0.24,0.19,-0.17,-0.15,0.19,0.17,0.55,0.27,0.57,0.42,0.25,0.62,-0.11,0.52,0.84,0.27,0.59,0.17,-0.01
dyn-175,0.47,0.11,-0.20,0.25,-0.11,-0.09,0.24,0.23,0.58,0.32,0.58,0.39,0.21,0.60,-0.16,0.54,0.83,0.28,0.62,0.13,0.00
dyn-200,0.50,0.15,-0.17,0.29,-0.07,-0.05,0.28,0.28,0.60,0.35,0.58,0.36,0.17,0.59,-0.19,0.54,0.83,0.27,0.64,0.11,0.01
dyn-225,0.52,0.18,-0.15,0.31,-0.04,-0.02,0.30,0.31,0.62,0.37,0.58,0.34,0.15,0.57,-0.22,0.55,0.83,0.27,0.65,0.09,0.02
dyn-250,0.53,0.21,-0.13,0.33,-0.02,0.01,0.32,0.33,0.63,0.38,0.58,0.33,0.13,0.57,-0.24,0.55,0.83,0.26,0.66,0.08,0.02
