correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,3.3179e-01,-2.7255e-01,-7.0211e-01,-1.3805e-01,-3.5421e-01,-3.3333e-01,2.1520e-01,-1.9296e-01,5.7483e-01,6.8242e-02,8.1433e-01,6.9254e-01,4.6150e-01,8.3433e-01,1.6414e-02,5.2918e-02,9.5499e-01,-3.1763e-01,6.0616e-01,2.8696e-01,8.9749e-02
Segmented Lung Expiration,9.0972e-02,-4.7183e-01,-7.7059e-01,-3.1605e-01,-4.8665e-01,-4.8261e-01,7.6360e-04,-4.0031e-01,4.4228e-01,-8.7940e-02,7.7573e-01,8.2718e-01,6.4006e-01,9.1256e-01,2.0151e-01,3.5776e-02,9.2614e-01,-2.9114e-01,5.1382e-01,4.0592e-01,2.7740e-04
Emphysema Volume,-3.6631e-02,-5.4971e-01,-8.0157e-01,-4.9631e-01,-4.6002e-01,-4.6689e-01,-2.6592e-02,-5.5560e-01,1.2240e-01,-3.7787e-01,5.8226e-01,7.0707e-01,5.7866e-01,6.3069e-01,3.3630e-01,-4.8332e-01,5.7662e-01,-7.0089e-01,1.8700e-01,4.0449e-01,9.1577e-02
Non Emphysema Volume,5.0631e-01,6.7499e-02,-3.3848e-01,2.1585e-01,-1.2438e-01,-8.8706e-02,3.3076e-01,1.8654e-01,6.7730e-01,3.3529e-01,6.9392e-01,4.5251e-01,2.3172e-01,6.8880e-01,-1.9683e-01,4.3858e-01,9.2710e-01,7.9966e-02,7.1381e-01,1.1410e-01,5.8272e-02
Segmented - DAT at 5 HU,-1.4027e-01,-5.2765e-01,-7.0948e-01,-4.0541e-01,-4.2320e-01,-4.2617e-01,-1.2783e-01,-4.7974e-01,2.5396e-01,-2.4972e-01,6.5341e-01,8.5159e-01,7.2544e-01,8.6020e-01,3.0916e-01,-1.4222e-01,5.5765e-01,-3.9007e-01,2.9604e-01,5.6540e-01,-1.0360e-01
Segmented - DAT at 25 HU,-2.7425e-02,-5.4750e-01,-7.6957e-01,-4.0189e-01,-5.1101e-01,-5.1312e-01,-1.0973e-01,-4.8195e-01,3.5444e-01,-2.0682e-01,7.7076e-01,8.9553e-01,7.2305e-01,9.3268e-01,2.7866e-01,-1.0714e-01,8.0340e-01,-4.0474e-01,4.3286e-01,5.4986e-01,2.4902e-02
Segmented - DAT at 50 HU,3.2622e-02,-5.2088e-01,-7.0088e-01,-3.6218e-01,-6.0362e-01,-5.9906e-01,-1.4810e-01,-4.3694e-01,3.7496e-01,-8.2878e-02,6.7480e-01,7.9760e-01,6.4929e-01,8.8103e-01,2.6239e-01,7.5098e-02,8.8261e-01,-1.8738e-01,4.6170e-01,4.0392e-01,6.6028e-02
Segmented - DAT at 75 HU,1.3875e-01,-3.8552e-01,-5.7384e-01,-2.0887e-01,-5.5675e-01,-5.4375e-01,-1.0024e-01,-2.7224e-01,3.8509e-01,3.1333e-02,5.7434e-01,6.7106e-01,5.4487e-01,7.9130e-01,2.0130e-01,2.8114e-01,8.7621e-01,5.6689e-02,4.7224e-01,3.3802e-01,1.8582e-02
Segmented - DAT at 100 HU,2.7139e-01,-1.9348e-01,-4.2180e-01,-3.0269e-02,-3.9468e-01,-3.8359e-01,1.4959e-02,-7.2646e-02,4.4187e-01,1.2912e-01,5.6236e-01,5.5938e-01,4.1821e-01,7.1058e-01,7.7959e-02,4.1715e-01,8.5880e-01,1.9704e-01,5.1281e-01,2.7002e-01,-1.2418e-02
Segmented - DAT at 125 HU,3.6589e-01,-5.0425e-02,-3.1314e-01,9.7707e-02,-2.6211e-01,-2.5021e-01,1.1325e-01,7.0861e-02,4.9648e-01,2.0386e-01,5.6845e-01,4.8009e-01,3.2142e-01,6.5586e-01,-2.5240e-02,4.8669e-01,8.4606e-01,2.5624e-01,5.5402e-01,2.1238e-01,-1.8236e-02
Segmented - DAT at 150 HU,4.3327e-01,5.0209e-02,-2.4207e-01,1.9122e-01,-1.6965e-01,-1.5209e-01,1.9266e-01,1.7192e-01,5.4691e-01,2.7045e-01,5.7478e-01,4.2339e-01,2.5117e-01,6.2322e-01,-1.0564e-01,5.2249e-01,8.3803e-01,2.7444e-01,5.9436e-01,1.6603e-01,-9.3928e-03
Segmented - DAT at 175 HU,4.7399e-01,1.1282e-01,-1.9794e-01,2.4919e-01,-1.1213e-01,-8.9614e-02,2.4340e-01,2.3458e-01,5.7987e-01,3.1515e-01,5.7704e-01,3.8586e-01,2.0542e-01,6.0191e-01,-1.5773e-01,5.3779e-01,8.3317e-01,2.7662e-01,6.2039e-01,1.3412e-01,6.9988e-04
Segmented - DAT at 200 HU,5.0007e-01,1.5473e-01,-1.6783e-01,2.8748e-01,-7.3007e-02,-4.6764e-02,2.7741e-01,2.7623e-01,6.0192e-01,3.4562e-01,5.7772e-01,3.5942e-01,1.7358e-01,5.8640e-01,-1.9350e-01,5.4368e-01,8.3006e-01,2.7336e-01,6.3696e-01,1.1131e-01,9.2949e-03
Segmented - DAT at 225 HU,5.1779e-01,1.8428e-01,-1.4633e-01,3.1421e-01,-4.4977e-02,-1.5918e-02,3.0147e-01,3.0543e-01,6.1750e-01,3.6742e-01,5.7782e-01,3.3996e-01,1.5030e-01,5.7467e-01,-2.1938e-01,5.4531e-01,8.2813e-01,2.6843e-01,6.4803e-01,9.4492e-02,1.6400e-02
Segmented - DAT at 250 HU,5.3024e-01,2.0573e-01,-1.3056e-01,3.3361e-01,-2.4274e-02,6.9030e-03,3.1916e-01,3.2648e-01,6.2867e-01,3.8339e-01,5.7749e-01,3.2530e-01,1.3294e-01,5.6561e-01,-2.3848e-01,5.4521e-01,8.2691e-01,2.6361e-01,6.5556e-01,8.1852e-02,2.1832e-02
Segmented - DAT at 275 HU,5.3903e-01,2.2130e-01,-1.1899e-01,3.4771e-01,-9.0149e-03,2.3726e-02,3.3212e-01,3.4165e-01,6.3662e-01,3.9497e-01,5.7699e-01,3.1436e-01,1.2010e-01,5.5868e-01,-2.5246e-01,5.4438e-01,8.2611e-01,2.5948e-01,6.6062e-01,7.2441e-02,2.5884e-02
Segmented - DAT at 300 HU,5.4563e-01,2.3322e-01,-1.1012e-01,3.5858e-01,2.9241e-03,3.6876e-02,3.4235e-01,3.5319e-01,6.4274e-01,4.0389e-01,5.7658e-01,3.0582e-01,1.1009e-01,5.5321e-01,-2.6337e-01,5.4309e-01,8.2561e-01,2.5570e-01,6.6430e-01,6.5096e-02,2.8838e-02
Normal Lung (at 5 HU),-6.1054e-02,-5.6474e-01,-8.1013e-01,-4.9406e-01,-4.6850e-01,-4.7476e-01,-5.0118e-02,-5.5885e-01,1.6247e-01,-3.6447e-01,6.3054e-01,7.8060e-01,6.4616e-01,7.2210e-01,3.4667e-01,-4.1948e-01,6.2092e-01,-6.5466e-01,2.2306e-01,4.6889e-01,4.4824e-02
Normal Lung (at 25 HU),-3.4046e-02,-5.9329e-01,-8.4768e-01,-4.7966e-01,-5.2851e-01,-5.3305e-01,-7.9138e-02,-5.5638e-01,2.8442e-01,-2.9271e-01,7.4923e-01,8.8315e-01,7.1627e-01,8.7607e-01,3.2290e-01,-2.7069e-01,8.4492e-01,-5.5441e-01,3.5879e-01,5.3196e-01,5.3584e-02
Normal Lung (at 50 HU),6.9421e-03,-6.1263e-01,-8.5171e-01,-4.7643e-01,-6.3166e-01,-6.3146e-01,-1.1683e-01,-5.5569e-01,3.2664e-01,-2.0054e-01,7.2027e-01,8.5823e-01,6.9977e-01,8.9301e-01,3.2027e-01,-1.2429e-01,9.4060e-01,-3.9898e-01,4.1039e-01,4.4780e-01,8.2079e-02
Normal Lung (at 75 HU),8.4505e-02,-5.6068e-01,-8.2624e-01,-4.0306e-01,-6.4271e-01,-6.3652e-01,-8.7592e-02,-4.7968e-01,3.4941e-01,-1.2783e-01,6.8217e-01,8.0783e-01,6.5776e-01,8.7076e-01,2.9237e-01,1.1340e-02,9.4626e-01,-2.4935e-01,4.3558e-01,4.1796e-01,4.9527e-02
Normal Lung (at 100 HU),1.8543e-01,-4.5906e-01,-7.7554e-01,-3.0473e-01,-5.6105e-01,-5.5652e-01,-3.7274e-03,-3.7059e-01,4.0557e-01,-7.0605e-02,7.1114e-01,7.6585e-01,5.9545e-01,8.5056e-01,2.1543e-01,8.1803e-02,9.3749e-01,-1.9036e-01,4.7909e-01,3.8999e-01,3.0353e-02
Normal Lung (at 125 HU),2.6152e-01,-3.7592e-01,-7.3410e-01,-2.2824e-01,-4.8525e-01,-4.8023e-01,7.1598e-02,-2.8540e-01,4.5784e-01,-2.4212e-02,7.4335e-01,7.3452e-01,5.4395e-01,8.3728e-01,1.4649e-01,1.1048e-01,9.3040e-01,-1.8067e-01,5.2017e-01,3.6354e-01,2.9423e-02
Normal Lung (at 150 HU),3.1839e-01,-3.1282e-01,-7.0493e-01,-1.6733e-01,-4.2880e-01,-4.1935e-01,1.3497e-01,-2.2057e-01,5.0515e-01,2.1368e-02,7.6725e-01,7.1011e-01,5.0421e-01,8.3158e-01,8.9971e-02,1.2212e-01,9.2614e-01,-1.9047e-01,5.5858e-01,3.3985e-01,3.9075e-02
Normal Lung (at 175 HU),3.5464e-01,-2.7128e-01,-6.8517e-01,-1.2721e-01,-3.9204e-01,-3.7857e-01,1.7699e-01,-1.7787e-01,5.3662e-01,5.3576e-02,7.8068e-01,6.9224e-01,4.7687e-01,8.2683e-01,5.2028e-02,1.2575e-01,9.2382e-01,-2.0210e-01,5.8424e-01,3.2224e-01,4.8848e-02
Normal Lung (at 200 HU),3.7895e-01,-2.4218e-01,-6.7055e-01,-9.9453e-02,-3.6602e-01,-3.4944e-01,2.0603e-01,-1.4811e-01,5.5815e-01,7.6307e-02,7.8895e-01,6.7872e-01,4.5701e-01,8.2243e-01,2.5247e-02,1.2595e-01,9.2244e-01,-2.1257e-01,6.0144e-01,3.0896e-01,5.6941e-02
Normal Lung (at 225 HU),3.9615e-01,-2.2083e-01,-6.5934e-01,-7.9225e-02,-3.4669e-01,-3.2771e-01,2.2709e-01,-1.2633e-01,5.7370e-01,9.3132e-02,7.9444e-01,6.6816e-01,4.4193e-01,8.1853e-01,5.3524e-03,1.2491e-01,9.2172e-01,-2.2135e-01,6.1355e-01,2.9873e-01,6.3529e-02
Normal Lung (at 250 HU),4.0862e-01,-2.0477e-01,-6.5056e-01,-6.3999e-02,-3.3195e-01,-3.1112e-01,2.4287e-01,-1.1006e-01,5.8515e-01,1.0585e-01,7.9811e-01,6.5984e-01,4.3035e-01,8.1520e-01,-9.6767e-03,1.2370e-01,9.2134e-01,-2.2822e-01,6.2232e-01,2.9077e-01,6.8556e-02
Normal Lung (at 275 HU),4.1763e-01,-1.9281e-01,-6.4382e-01,-5.2640e-02,-3.2081e-01,-2.9861e-01,2.5459e-01,-9.8004e-02,5.9349e-01,1.1529e-01,8.0058e-01,6.5345e-01,4.2160e-01,8.1246e-01,-2.0872e-02,1.2258e-01,9.2112e-01,-2.3345e-01,6.2859e-01,2.8468e-01,7.2310e-02
Normal Lung (at 300 HU),4.2452e-01,-1.8342e-01,-6.3837e-01,-4.3657e-02,-3.1188e-01,-2.8861e-01,2.6389e-01,-8.8604e-02,6.0003e-01,1.2276e-01,8.0245e-01,6.4830e-01,4.1461e-01,8.1020e-01,-2.9784e-02,1.2147e-01,9.2098e-01,-2.3771e-01,6.3340e-01,2.7978e-01,7.5062e-02
Calculated FVC,6.0432e-01,6.4207e-01,3.7853e-01,5.4617e-01,4.7162e-01,5.1447e-01,5.5895e-01,6.4456e-01,2.6205e-01,4.4791e-01,-7.1487e-02,-5.5777e-01,-6.3536e-01,-4.2276e-01,-5.5307e-01,3.5086e-02,-2.6315e-01,3.2072e-02,7.1497e-02,-4.9268e-01,2.5718e-01
