p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,1.9325e-01,2.8989e-01,1.6774e-03,5.9724e-01,1.6304e-01,1.9106e-01,4.0682e-01,4.5809e-01,3.1532e-02,8.1669e-01,3.9136e-04,6.0470e-03,9.6696e-02,2.0678e-04,9.5559e-01,8.7026e-01,2.9935e-03,3.1438e-01,3.6678e-02,3.6582e-01,7.8149e-01
Segmented Lung Expiration,7.2841e-01,5.5854e-02,2.9453e-04,2.1651e-01,4.7592e-02,4.9750e-02,9.9768e-01,1.1133e-01,1.1331e-01,7.6498e-01,1.1109e-03,2.6216e-04,1.3682e-02,5.3321e-06,4.8967e-01,9.1211e-01,7.9821e-03,3.5857e-01,8.7490e-02,1.9044e-01,9.9932e-01
Emphysema Volume,8.8900e-01,2.2259e-02,1.0936e-04,4.2723e-02,6.3174e-02,5.8833e-02,9.1931e-01,2.0583e-02,6.7678e-01,1.8283e-01,2.8908e-02,4.6849e-03,3.0156e-02,1.5595e-02,2.3974e-01,1.1143e-01,2.3093e-01,1.1110e-02,5.6059e-01,1.9216e-01,7.7713e-01
Non Emphysema Volume,3.8093e-02,7.9687e-01,1.8387e-01,4.0537e-01,6.3434e-01,7.3495e-01,1.9471e-01,4.7345e-01,7.7890e-03,2.4124e-01,5.9058e-03,1.0424e-01,4.2538e-01,6.4431e-03,5.0002e-01,1.5380e-01,7.7785e-03,8.0488e-01,9.1263e-03,7.2403e-01,8.5724e-01
Segmented - DAT at 5 HU,5.9130e-01,2.9493e-02,1.4238e-03,1.0643e-01,9.0533e-02,8.8052e-02,6.2488e-01,5.1325e-02,3.8096e-01,3.8923e-01,1.1273e-02,1.1119e-04,3.3201e-03,7.9204e-05,2.8213e-01,6.5927e-01,2.5023e-01,2.1001e-01,3.5016e-01,5.5385e-02,7.4865e-01
Segmented - DAT at 25 HU,9.1679e-01,2.2915e-02,3.0352e-04,1.0980e-01,3.6051e-02,3.5164e-02,6.7503e-01,5.0107e-02,2.1372e-01,4.7805e-01,1.2525e-03,1.4934e-05,3.4771e-03,1.1609e-06,3.3467e-01,7.4034e-01,5.4176e-02,1.9186e-01,1.5986e-01,6.4008e-02,9.3877e-01
Segmented - DAT at 50 HU,9.0108e-01,3.2041e-02,1.7232e-03,1.5312e-01,1.0297e-02,1.1048e-02,5.7053e-01,7.9476e-02,1.8651e-01,7.7819e-01,8.1083e-03,6.3178e-04,1.1980e-02,3.1538e-05,3.6479e-01,8.1657e-01,1.9862e-02,5.5979e-01,1.3079e-01,1.9285e-01,8.3845e-01
Segmented - DAT at 75 HU,5.9535e-01,1.2645e-01,1.6010e-02,4.2108e-01,2.0269e-02,2.4060e-02,7.0187e-01,2.9046e-01,1.7393e-01,9.1532e-01,3.1707e-02,8.6044e-03,4.3918e-02,7.4817e-04,4.9013e-01,3.7605e-01,2.2037e-02,8.6109e-01,1.2110e-01,2.8254e-01,9.5429e-01
Segmented - DAT at 100 HU,2.9204e-01,4.5686e-01,9.1714e-02,9.0819e-01,1.1693e-01,1.2852e-01,9.5456e-01,7.8172e-01,1.1367e-01,6.5999e-01,3.6320e-02,3.7541e-02,1.3672e-01,4.3947e-03,7.9109e-01,1.7729e-01,2.8497e-02,5.3933e-01,8.8218e-02,3.9601e-01,9.6945e-01
Segmented - DAT at 125 HU,1.4864e-01,8.4759e-01,2.2102e-01,7.0910e-01,3.0948e-01,3.3274e-01,6.6518e-01,7.8697e-01,7.0944e-02,4.8453e-01,3.3920e-02,8.2316e-02,2.6247e-01,1.0869e-02,9.3175e-01,1.0859e-01,3.3722e-02,4.2145e-01,6.1611e-02,5.0753e-01,9.5514e-01
Segmented - DAT at 150 HU,8.2331e-02,8.4824e-01,3.4923e-01,4.6223e-01,5.1508e-01,5.6008e-01,4.5880e-01,5.0939e-01,4.2977e-02,3.4969e-01,3.1548e-02,1.3142e-01,3.8639e-01,1.7260e-02,7.1927e-01,8.1379e-02,3.7227e-02,3.8801e-01,4.1543e-02,6.0606e-01,9.7689e-01
Segmented - DAT at 175 HU,5.4587e-02,6.6638e-01,4.4634e-01,3.3479e-01,6.6831e-01,7.3232e-01,3.4651e-01,3.6479e-01,2.9733e-02,2.7241e-01,3.0733e-02,1.7300e-01,4.8110e-01,2.2758e-02,5.9019e-01,7.1314e-02,3.9425e-02,3.8410e-01,3.1372e-02,6.7774e-01,9.9828e-01
