correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,3.3179e-01,-2.7255e-01,-7.0211e-01,-1.3805e-01,-3.5421e-01,-3.3333e-01,2.1520e-01,-1.9296e-01,5.7483e-01,6.8242e-02,8.1433e-01,6.9254e-01,4.6150e-01,8.3433e-01,1.6414e-02,5.2918e-02,9.5499e-01,-3.1763e-01,6.0616e-01,2.8696e-01,8.9749e-02
Segmented Lung Expiration,9.0972e-02,-4.7183e-01,-7.7059e-01,-3.1605e-01,-4.8665e-01,-4.8261e-01,7.6360e-04,-4.0031e-01,4.4228e-01,-8.7940e-02,7.7573e-01,8.2718e-01,6.4006e-01,9.1256e-01,2.0151e-01,3.5776e-02,9.2614e-01,-2.9114e-01,5.1382e-01,4.0592e-01,2.7740e-04
Emphysema Volume,-3.6631e-02,-5.4971e-01,-8.0157e-01,-4.9631e-01,-4.6002e-01,-4.6689e-01,-2.6592e-02,-5.5560e-01,1.2240e-01,-3.7787e-01,5.8226e-01,7.0707e-01,5.7866e-01,6.3069e-01,3.3630e-01,-4.8332e-01,5.7662e-01,-7.0089e-01,1.8700e-01,4.0449e-01,9.1577e-02
Non Emphysema Volume,5.0631e-01,6.7499e-02,-3.3848e-01,2.1585e-01,-1.2438e-01,-8.8706e-02,3.3076e-01,1.8654e-01,6.7730e-01,3.3529e-01,6.9392e-01,4.5251e-01,2.3172e-01,6.8880e-01,-1.9683e-01,4.3858e-01,9.2710e-01,7.9966e-02,7.1381e-01,1.1410e-01,5.8272e-02
Segmented - DAT at 5 HU,3.9787e-01,-2.1178e-01,-6.6186e-01,-8.2545e-02,-3.2223e-01,-2.9823e-01,2.6466e-01,-1.3094e-01,5.9673e-01,1.2061e-01,7.9315e-01,6.2191e-01,3.8634e-01,7.7872e-01,-3.6647e-02,8.7235e-02,9.2585e-01,-2.8474e-01,6.2951e-01,2.1810e-01,1.2069e-01
Segmented - DAT at 25 HU,6.0180e-01,2.2696e-01,-2.2624e-01,2.7260e-01,4.1218e-02,7.9571e-02,5.0669e-01,2.8006e-01,5.3052e-01,4.1411e-01,3.7259e-01,-2.1765e-02,-1.9266e-01,1.8003e-01,-3.6368e-01,2.7726e-01,4.5428e-01,3.8040e-02,4.7900e-01,-3.2541e-01,1.3576e-01
Segmented - DAT at 50 HU,4.4901e-01,3.1772e-01,-7.2169e-02,2.9759e-01,3.1103e-01,3.3579e-01,5.2643e-01,3.1967e-01,3.3529e-01,2.6223e-01,2.2425e-01,-1.9990e-01,-3.3885e-01,-1.0137e-01,-4.2986e-01,-4.5511e-02,1.1503e-01,-2.0270e-01,1.9871e-01,-2.7235e-01,3.4552e-02
Segmented - DAT at 75 HU,2.9864e-01,8.3770e-02,-2.9236e-01,5.8921e-02,1.7639e-01,1.9002e-01,4.2426e-01,5.8466e-02,3.4475e-01,6.3746e-02,4.4270e-01,8.6798e-02,-9.7135e-02,1.3178e-01,-2.9205e-01,-3.4870e-01,2.0750e-01,-5.9127e-01,2.3509e-01,-9.7415e-02,1.3202e-01
Segmented - DAT at 100 HU,1.6122e-01,-1.6310e-01,-4.9990e-01,-1.5311e-01,-6.2855e-02,-4.6480e-02,2.7224e-01,-1.8243e-01,3.1617e-01,-6.7209e-02,5.3483e-01,3.4399e-01,1.6713e-01,3.6432e-01,-8.0251e-02,-4.4393e-01,3.2116e-01,-7.2461e-01,2.6746e-01,8.1829e-02,1.7467e-01
Segmented - DAT at 125 HU,8.0250e-02,-3.0322e-01,-6.0730e-01,-2.7051e-01,-2.0758e-01,-1.9198e-01,1.6976e-01,-3.1576e-01,2.7804e-01,-1.4575e-01,5.6027e-01,4.8061e-01,3.1842e-01,4.8343e-01,5.6560e-02,-4.5570e-01,3.9330e-01,-7.3891e-01,2.6971e-01,1.8320e-01,1.7020e-01
Segmented - DAT at 150 HU,2.7473e-02,-3.8958e-01,-6.6794e-01,-3.4714e-01,-2.9402e-01,-2.8352e-01,9.7677e-02,-3.9905e-01,2.3998e-01,-2.1169e-01,5.7370e-01,5.6435e-01,4.1227e-01,5.4768e-01,1.4856e-01,-4.5432e-01,4.3771e-01,-7.2946e-01,2.5894e-01,2.4791e-01,1.5313e-01
Segmented - DAT at 175 HU,-3.8955e-03,-4.3872e-01,-7.0025e-01,-3.9122e-01,-3.4247e-01,-3.3628e-01,5.3830e-02,-4.4675e-01,2.1357e-01,-2.5372e-01,5.7951e-01,6.1167e-01,4.6618e-01,5.8162e-01,2.0357e-01,-4.4809e-01,4.6454e-01,-7.1475e-01,2.4857e-01,2.8577e-01,1.3793e-01
Segmented - DAT at 200 HU,-2.4057e-02,-4.6964e-01,-7.1964e-01,-4.1884e-01,-3.7315e-01,-3.7014e-01,2.5024e-02,-4.7674e-01,1.9488e-01,-2.8115e-01,5.8128e-01,6.4073e-01,5.0015e-01,6.0167e-01,2.3939e-01,-4.4053e-01,4.8163e-01,-7.0008e-01,2.4042e-01,3.0977e-01,1.2602e-01
Segmented - DAT at 225 HU,-3.8051e-02,-4.9056e-01,-7.3212e-01,-4.3753e-01,-3.9404e-01,-3.9342e-01,4.7475e-03,-4.9707e-01,1.8070e-01,-3.0033e-01,5.8088e-01,6.5969e-01,5.2302e-01,6.1412e-01,2.6446e-01,-4.3345e-01,4.9278e-01,-6.8713e-01,2.3382e-01,3.2591e-01,1.1663e-01
Segmented - DAT at 250 HU,-4.8146e-02,-5.0538e-01,-7.4063e-01,-4.5092e-01,-4.0899e-01,-4.1015e-01,-1.0184e-02,-5.1145e-01,1.6979e-01,-3.1418e-01,5.7960e-01,6.7247e-01,5.3890e-01,6.2206e-01,2.8252e-01,-4.2756e-01,5.0017e-01,-6.7647e-01,2.2843e-01,3.3712e-01,1.0958e-01
Segmented - DAT at 275 HU,-5.5411e-02,-5.1596e-01,-7.4655e-01,-4.6055e-01,-4.1976e-01,-4.2225e-01,-2.1148e-02,-5.2169e-01,1.6163e-01,-3.2408e-01,5.7814e-01,6.8119e-01,5.5000e-01,6.2725e-01,2.9548e-01,-4.2284e-01,5.0521e-01,-6.6804e-01,2.2426e-01,3.4499e-01,1.0438e-01
Segmented - DAT at 300 HU,-6.1034e-02,-5.2405e-01,-7.5097e-01,-4.6804e-01,-4.2813e-01,-4.3165e-01,-2.9848e-02,-5.2948e-01,1.5492e-01,-3.3174e-01,5.7641e-01,6.8742e-01,5.5824e-01,6.3068e-01,3.0553e-01,-4.1886e-01,5.0814e-01,-6.6101e-01,2.2074e-01,3.5084e-01,1.0057e-01
Normal Lung (at 5 HU),5.7519e-01,2.0089e-01,-1.8850e-01,3.2956e-01,-2.9615e-02,9.2267e-03,3.8459e-01,3.1638e-01,6.7354e-01,4.1839e-01,6.0109e-01,2.9569e-01,8.5942e-02,5.4877e-01,-2.8240e-01,5.1614e-01,8.6258e-01,1.8922e-01,7.0227e-01,-9.4131e-03,8.8232e-02
Normal Lung (at 25 HU),5.6576e-01,6.8549e-01,5.0562e-01,6.7891e-01,4.4181e-01,4.8187e-01,4.7260e-01,7.3775e-01,3.5170e-01,6.2329e-01,-1.1862e-01,-5.3902e-01,-5.8676e-01,-3.1468e-01,-5.5066e-01,6.0781e-01,2.6062e-01,5.9801e-01,2.2125e-01,-5.5997e-01,3.6742e-02
Normal Lung (at 50 HU),4.7713e-01,7.8796e-01,6.1755e-01,7.2207e-01,7.0421e-01,7.3469e-01,5.4534e-01,7.9496e-01,1.9765e-01,4.9845e-01,-2.3114e-01,-6.8421e-01,-7.0972e-01,-5.4456e-01,-6.1151e-01,3.2705e-01,-2.0552e-01,3.6091e-01,2.3648e-02,-5.0018e-01,-3.8184e-02
Normal Lung (at 75 HU),4.5588e-01,7.4006e-01,5.0409e-01,6.4499e-01,7.6677e-01,7.9347e-01,6.1876e-01,7.1164e-01,2.7573e-01,4.2165e-01,-3.9356e-02,-5.5645e-01,-6.4516e-01,-4.3501e-01,-6.4079e-01,6.8442e-02,-1.5492e-01,3.0943e-03,8.6051e-02,-4.7207e-01,4.8378e-02
Normal Lung (at 100 HU),3.6541e-01,5.0920e-01,2.3769e-01,4.4846e-01,5.6794e-01,6.0978e-01,5.6420e-01,4.8078e-01,3.4348e-01,3.6165e-01,1.1751e-01,-3.3526e-01,-4.5336e-01,-2.0911e-01,-5.4101e-01,-8.8218e-02,3.0340e-02,-2.5533e-01,1.8494e-01,-3.8844e-01,1.4137e-01
Normal Lung (at 125 HU),2.5297e-01,2.5481e-01,-1.6390e-02,2.3773e-01,3.2169e-01,3.7045e-01,4.4558e-01,2.3572e-01,3.6421e-01,2.8239e-01,2.2757e-01,-1.1801e-01,-2.4445e-01,2.8089e-03,-3.9573e-01,-1.6512e-01,1.7792e-01,-3.9505e-01,2.4998e-01,-2.7079e-01,1.8489e-01
Normal Lung (at 150 HU),1.4713e-01,3.8083e-02,-2.1472e-01,4.6812e-02,1.1844e-01,1.6052e-01,3.1716e-01,2.4156e-02,3.5560e-01,1.7687e-01,3.2366e-01,7.4310e-02,-5.8662e-02,1.7296e-01,-2.5338e-01,-2.1289e-01,2.7335e-01,-4.8049e-01,2.8463e-01,-1.5995e-01,1.9457e-01
Normal Lung (at 175 HU),6.6015e-02,-1.1860e-01,-3.4946e-01,-9.2808e-02,-2.7283e-02,5.3002e-03,2.1320e-01,-1.2956e-01,3.3498e-01,7.8525e-02,3.9623e-01,2.2865e-01,9.2751e-02,3.0278e-01,-1.3086e-01,-2.3670e-01,3.3157e-01,-5.2284e-01,2.9955e-01,-6.3269e-02,1.8586e-01
Normal Lung (at 200 HU),6.5858e-03,-2.2946e-01,-4.3981e-01,-1.9149e-01,-1.3198e-01,-1.0799e-01,1.3319e-01,-2.3816e-01,3.0877e-01,-3.7944e-03,4.4450e-01,3.4677e-01,2.1203e-01,3.9866e-01,-2.8672e-02,-2.4335e-01,3.6853e-01,-5.3544e-01,3.0271e-01,1.6574e-02,1.6916e-01
Normal Lung (at 225 HU),-3.6928e-02,-3.0744e-01,-4.9983e-01,-2.6109e-01,-2.0676e-01,-1.8987e-01,7.2460e-02,-3.1457e-01,2.8046e-01,-6.9914e-02,4.7277e-01,4.3285e-01,3.0210e-01,4.6551e-01,5.3495e-02,-2.4089e-01,3.9258e-01,-5.3114e-01,2.9844e-01,7.8534e-02,1.5000e-01
Normal Lung (at 250 HU),-6.8729e-02,-3.6259e-01,-5.4011e-01,-3.1081e-01,-2.6050e-01,-2.4916e-01,2.6394e-02,-3.6848e-01,2.5393e-01,-1.2100e-01,4.8789e-01,4.9346e-01,3.6770e-01,5.1034e-01,1.1688e-01,-2.3517e-01,4.0846e-01,-5.1980e-01,2.9051e-01,1.2476e-01,1.3288e-01
Normal Lung (at 275 HU),-9.1492e-02,-4.0125e-01,-5.6721e-01,-3.4598e-01,-2.9880e-01,-2.9161e-01,-7.6721e-03,-4.0615e-01,2.3182e-01,-1.5851e-01,4.9521e-01,5.3485e-01,4.1386e-01,5.3967e-01,1.6356e-01,-2.2865e-01,4.1923e-01,-5.0677e-01,2.8216e-01,1.5798e-01,1.1902e-01
Normal Lung (at 300 HU),-1.0890e-01,-4.3006e-01,-5.8657e-01,-3.7259e-01,-3.2789e-01,-3.2393e-01,-3.4623e-02,-4.3411e-01,2.1239e-01,-1.8754e-01,4.9740e-01,5.6397e-01,4.4766e-01,5.5900e-01,1.9978e-01,-2.2196e-01,4.2548e-01,-4.9341e-01,2.7368e-01,1.8270e-01,1.0841e-01
Calculated FVC,6.0432e-01,6.4207e-01,3.7853e-01,5.4617e-01,4.7162e-01,5.1447e-01,5.5895e-01,6.4456e-01,2.6205e-01,4.4791e-01,-7.1487e-02,-5.5777e-01,-6.3536e-01,-4.2276e-01,-5.5307e-01,3.5086e-02,-2.6315e-01,3.2072e-02,7.1497e-02,-4.9268e-01,2.5718e-01
