correlation,FVC,FEV1,FEV1/FVC,FEF25-75%,ERV,RV (Pleth),TLC (Pleth)
TSLVi,6.4530e-01,3.3577e-01,-4.0800e-01,-7.0252e-02,-8.5409e-02,2.8535e-01,8.1046e-01
TSLVe,1.1801e-01,-2.2194e-01,-6.9357e-01,-5.3890e-01,-3.8616e-01,7.2666e-01,9.5905e-01
EV,1.8694e-01,2.0535e-01,9.6282e-02,1.6033e-01,3.6886e-04,-1.1321e-01,6.4843e-02
AT at 5 HU,-5.3765e-01,-6.7794e-01,-5.6666e-01,-7.0113e-01,-4.9281e-01,8.1149e-01,9.3320e-01
AT at 25 HU,-4.4222e-01,-6.5804e-01,-6.7984e-01,-7.4970e-01,-5.0445e-01,8.5567e-01,8.6241e-01
AT at 50 HU,-3.6855e-01,-6.4471e-01,-7.8010e-01,-7.9984e-01,-5.6464e-01,8.8601e-01,8.1213e-01
AT at 75 HU,-2.6524e-01,-5.9449e-01,-8.4931e-01,-8.2831e-01,-7.0056e-01,9.5311e-01,7.9264e-01
AT at 100 HU,-9.4949e-02,-4.3741e-01,-7.8905e-01,-7.1885e-01,-7.1425e-01,9.4573e-01,7.5436e-01
AT at 125 HU,7.1103e-02,-2.7494e-01,-7.1698e-01,-5.9359e-01,-6.8464e-01,9.0571e-01,7.4447e-01
AT at 150 HU,2.2245e-01,-1.2821e-01,-6.6271e-01,-4.8406e-01,-6.4005e-01,8.4935e-01,7.7503e-01
AT at 175 HU,3.2503e-01,-2.5239e-02,-6.2120e-01,-4.0365e-01,-5.9233e-01,7.8841e-01,7.9721e-01
AT at 200 HU,3.9394e-01,4.7324e-02,-5.8705e-01,-3.4335e-01,-5.4727e-01,7.3037e-01,8.0651e-01
AT at 225 HU,4.4131e-01,9.9561e-02,-5.5896e-01,-2.9753e-01,-5.0755e-01,6.7891e-01,8.0771e-01
AT at 250 HU,4.7467e-01,1.3800e-01,-5.3570e-01,-2.6221e-01,-4.7403e-01,6.3535e-01,8.0459e-01
AT at 275 HU,4.9815e-01,1.6607e-01,-5.1714e-01,-2.3547e-01,-4.4725e-01,6.0044e-01,7.9974e-01
AT at 300 HU,5.1592e-01,1.8795e-01,-5.0168e-01,-2.1409e-01,-4.2526e-01,5.7177e-01,7.9452e-01
EV + AT at 5 HU,-2.4876e-01,-3.3510e-01,-3.3328e-01,-3.8329e-01,-2.8963e-01,3.8336e-01,6.0290e-01
EV + AT at 25 HU,-4.1786e-01,-6.2870e-01,-6.6052e-01,-7.2326e-01,-4.9828e-01,8.3295e-01,8.5897e-01
EV + AT at 50 HU,-3.6001e-01,-6.3408e-01,-7.7265e-01,-7.9001e-01,-5.6274e-01,8.7898e-01,8.1174e-01
EV + AT at 75 HU,-2.5867e-01,-5.8703e-01,-8.4536e-01,-8.2219e-01,-7.0128e-01,9.5043e-01,7.9558e-01
EV + AT at 100 HU,-8.7852e-02,-4.3109e-01,-7.8869e-01,-7.1560e-01,-7.1983e-01,9.4870e-01,7.6281e-01
EV + AT at 125 HU,8.0205e-02,-2.6749e-01,-7.1774e-01,-5.9051e-01,-6.9349e-01,9.1213e-01,7.5714e-01
EV + AT at 150 HU,2.3287e-01,-1.1865e-01,-6.6128e-01,-4.7854e-01,-6.4800e-01,8.5386e-01,7.8815e-01
EV + AT at 175 HU,3.3528e-01,-1.4743e-02,-6.1749e-01,-3.9622e-01,-5.9782e-01,7.8923e-01,8.0836e-01
EV + AT at 200 HU,4.0338e-01,5.7958e-02,-5.8164e-01,-3.3479e-01,-5.5034e-01,7.2772e-01,8.1497e-01
EV + AT at 225 HU,4.4979e-01,1.0996e-01,-5.5236e-01,-2.8834e-01,-5.0868e-01,6.7352e-01,8.1351e-01
EV + AT at 250 HU,4.8222e-01,1.4803e-01,-5.2828e-01,-2.5270e-01,-4.7373e-01,6.2799e-01,8.0813e-01
EV + AT at 275 HU,5.0493e-01,1.7573e-01,-5.0917e-01,-2.2582e-01,-4.4597e-01,5.9173e-01,8.0152e-01
EV + AT at 300 HU,5.2203e-01,1.9724e-01,-4.9330e-01,-2.0438e-01,-4.2327e-01,5.6208e-01,7.9488e-01
Calculated FVC,7.5100e-01,7.3515e-01,2.7742e-01,5.5758e-01,4.7342e-01,-6.8649e-01,-1.9453e-01
