correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
aero(insp) (<-50),0.88,0.84,-0.56,0.63,0.21,0.30,0.50,0.70,0.88,0.88,0.35,0.81,0.78,0.93,-0.38,0.82,1.00,0.55,0.90,-0.27,-0.22
aero(exp) (<-50),0.79,0.80,-0.34,0.47,0.33,0.46,0.44,0.63,0.80,0.76,0.41,0.71,0.62,0.80,-0.43,0.75,1.00,0.48,0.82,-0.36,-0.22
nonsevere(aero-severe),0.88,0.84,-0.55,0.63,0.22,0.31,0.50,0.70,0.88,0.89,0.34,0.80,0.78,0.93,-0.37,0.83,1.00,0.57,0.90,-0.26,-0.23
severe(<-960),0.15,0.06,-0.43,0.17,-0.28,-0.25,-0.04,0.18,0.15,0.00,0.34,0.26,0.03,0.11,-0.16,-0.21,1.00,-0.39,0.02,-0.25,0.32
aero(insp) - dyn-5,0.88,0.84,-0.56,0.63,0.22,0.31,0.51,0.70,0.88,0.89,0.35,0.81,0.78,0.94,-0.37,0.82,1.00,0.56,0.90,-0.26,-0.23
aero(insp) - dyn-25,0.88,0.84,-0.56,0.63,0.22,0.31,0.53,0.69,0.88,0.89,0.35,0.81,0.79,0.94,-0.36,0.82,1.00,0.56,0.89,-0.24,-0.25
aero(insp) - dyn-50,0.86,0.82,-0.58,0.63,0.17,0.24,0.50,0.66,0.86,0.86,0.36,0.82,0.78,0.93,-0.34,0.80,1.00,0.55,0.86,-0.24,-0.22
aero(insp) - dyn-75,0.80,0.74,-0.62,0.65,0.09,0.12,0.42,0.61,0.80,0.78,0.37,0.78,0.71,0.87,-0.35,0.66,1.00,0.40,0.77,-0.26,-0.07
aero(insp) - dyn-100,0.71,0.65,-0.61,0.62,0.04,0.04,0.33,0.56,0.71,0.67,0.37,0.69,0.58,0.76,-0.37,0.46,1.00,0.18,0.64,-0.31,0.12
aero(insp) - dyn-125,0.59,0.55,-0.53,0.54,0.04,-0.01,0.24,0.48,0.59,0.55,0.33,0.55,0.45,0.61,-0.36,0.26,1.00,-0.00,0.48,-0.34,0.29
aero(insp) - dyn-150,0.46,0.42,-0.45,0.45,-0.00,-0.08,0.14,0.38,0.45,0.41,0.27,0.42,0.33,0.46,-0.32,0.08,1.00,-0.15,0.31,-0.37,0.42
aero(insp) - dyn-175,0.33,0.30,-0.37,0.38,-0.04,-0.13,0.06,0.31,0.33,0.28,0.24,0.31,0.21,0.32,-0.30,-0.05,1.00,-0.25,0.18,-0.39,0.53
aero(insp) - dyn-200,0.23,0.20,-0.29,0.33,-0.07,-0.17,-0.00,0.25,0.22,0.16,0.23,0.21,0.09,0.20,-0.29,-0.14,1.00,-0.31,0.07,-0.40,0.60
aero(insp) - dyn-225,0.13,0.12,-0.20,0.28,-0.09,-0.18,-0.05,0.20,0.13,0.05,0.22,0.12,-0.01,0.09,-0.28,-0.20,1.00,-0.33,-0.01,-0.40,0.64
aero(insp) - dyn-250,0.06,0.05,-0.14,0.22,-0.11,-0.19,-0.10,0.16,0.05,-0.03,0.21,0.05,-0.09,0.00,-0.26,-0.22,1.00,-0.32,-0.07,-0.38,0.65
aero(insp) - dyn-275,0.00,-0.01,-0.10,0.16,-0.14,-0.21,-0.15,0.11,-0.00,-0.09,0.19,0.01,-0.14,-0.06,-0.23,-0.23,1.00,-0.31,-0.10,-0.35,0.62
aero(insp) - dyn-300,-0.04,-0.05,-0.08,0.11,-0.17,-0.22,-0.20,0.07,-0.04,-0.12,0.17,-0.02,-0.16,-0.09,-0.19,-0.23,1.00,-0.30,-0.12,-0.32,0.59
aero(insp) - (severe+dyn-5),0.88,0.84,-0.55,0.63,0.23,0.32,0.51,0.70,0.88,0.89,0.34,0.80,0.79,0.94,-0.37,0.83,1.00,0.57,0.90,-0.25,-0.25
aero(insp) - (severe+dyn-25),0.88,0.84,-0.55,0.63,0.23,0.32,0.53,0.69,0.88,0.89,0.34,0.81,0.79,0.94,-0.35,0.83,1.00,0.58,0.90,-0.23,-0.26
aero(insp) - (severe+dyn-50),0.86,0.82,-0.57,0.63,0.18,0.25,0.50,0.66,0.86,0.86,0.35,0.82,0.78,0.93,-0.34,0.81,1.00,0.56,0.86,-0.24,-0.23
aero(insp) - (severe+dyn-75),0.80,0.75,-0.61,0.64,0.10,0.13,0.42,0.61,0.80,0.79,0.36,0.78,0.72,0.87,-0.35,0.67,1.00,0.42,0.78,-0.26,-0.09
aero(insp) - (severe+dyn-100),0.72,0.66,-0.60,0.62,0.06,0.05,0.34,0.56,0.71,0.68,0.36,0.69,0.59,0.76,-0.37,0.47,1.00,0.20,0.64,-0.30,0.11
aero(insp) - (severe+dyn-125),0.59,0.55,-0.52,0.54,0.05,0.01,0.25,0.48,0.59,0.56,0.32,0.55,0.45,0.62,-0.36,0.28,1.00,0.02,0.48,-0.34,0.28
aero(insp) - (severe+dyn-150),0.45,0.42,-0.43,0.45,0.02,-0.06,0.15,0.37,0.45,0.42,0.25,0.41,0.33,0.46,-0.32,0.10,1.00,-0.12,0.32,-0.36,0.40
aero(insp) - (severe+dyn-175),0.33,0.30,-0.34,0.37,-0.02,-0.11,0.06,0.30,0.32,0.28,0.22,0.29,0.21,0.32,-0.29,-0.03,1.00,-0.21,0.18,-0.37,0.51
aero(insp) - (severe+dyn-200),0.21,0.20,-0.25,0.32,-0.04,-0.14,0.00,0.23,0.21,0.16,0.20,0.18,0.09,0.18,-0.28,-0.12,1.00,-0.27,0.07,-0.38,0.58
aero(insp) - (severe+dyn-225),0.11,0.11,-0.15,0.26,-0.05,-0.15,-0.05,0.18,0.11,0.05,0.18,0.09,-0.02,0.07,-0.26,-0.17,1.00,-0.28,-0.01,-0.37,0.61
aero(insp) - (severe+dyn-250),0.03,0.04,-0.08,0.20,-0.07,-0.16,-0.10,0.13,0.03,-0.03,0.16,0.02,-0.10,-0.02,-0.24,-0.19,1.00,-0.27,-0.07,-0.35,0.61
aero(insp) - (severe+dyn-275),-0.02,-0.02,-0.04,0.14,-0.09,-0.17,-0.15,0.08,-0.03,-0.09,0.14,-0.03,-0.15,-0.08,-0.20,-0.20,1.00,-0.25,-0.10,-0.31,0.58
insp-exp (aero),0.87,0.83,-0.55,0.60,0.23,0.33,0.52,0.68,0.87,0.89,0.32,0.79,0.79,0.93,-0.33,0.82,1.00,0.57,0.88,-0.20,-0.32
