correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,0.33,-0.27,-0.70,-0.14,-0.35,-0.33,0.22,-0.19,0.57,0.07,0.81,0.69,0.46,0.83,0.02,0.05,0.95,-0.32,0.61,0.29,0.09
Segmented Lung Expiration,0.09,-0.47,-0.77,-0.32,-0.49,-0.48,0.00,-0.40,0.44,-0.09,0.78,0.83,0.64,0.91,0.20,0.04,0.93,-0.29,0.51,0.41,0.00
Emphysema Volume,0.01,-0.57,-0.84,-0.45,-0.55,-0.55,-0.07,-0.53,0.31,-0.25,0.75,0.86,0.69,0.88,0.31,-0.19,0.94,-0.48,0.39,0.44,0.09
Non Emphysema Volume,0.27,0.56,0.55,0.63,0.42,0.44,0.29,0.63,0.37,0.57,-0.05,-0.28,-0.31,-0.04,-0.43,0.83,0.75,0.77,0.30,-0.20,-0.32
DAT Volume at 5 HU,-0.25,-0.49,-0.58,-0.38,-0.36,-0.36,-0.18,-0.45,0.17,-0.22,0.48,0.76,0.70,0.77,0.32,-0.08,0.33,-0.25,0.17,0.57,-0.25
DAT Volume at 25 HU,-0.19,-0.55,-0.62,-0.42,-0.51,-0.51,-0.22,-0.49,0.36,-0.12,0.67,0.88,0.75,0.95,0.28,0.07,0.67,-0.21,0.42,0.55,-0.11
DAT Volume at 50 HU,-0.22,-0.46,-0.32,-0.31,-0.56,-0.55,-0.31,-0.39,0.33,0.09,0.41,0.64,0.59,0.79,0.26,0.44,0.87,0.23,0.44,0.30,-0.13
DAT Volume at 75 HU,0.03,0.05,0.17,0.19,-0.17,-0.15,-0.10,0.15,0.27,0.39,0.01,0.09,0.10,0.29,-0.04,0.87,0.84,0.82,0.32,0.03,-0.28
DAT Volume at 100 HU,0.18,0.39,0.47,0.46,0.21,0.21,0.10,0.46,0.27,0.49,-0.09,-0.22,-0.21,-0.02,-0.29,0.91,0.78,0.91,0.24,-0.15,-0.31
DAT Volume at 125 HU,0.25,0.52,0.57,0.56,0.35,0.36,0.19,0.58,0.28,0.53,-0.12,-0.33,-0.33,-0.12,-0.39,0.87,0.75,0.88,0.22,-0.22,-0.29
DAT Volume at 150 HU,0.28,0.58,0.61,0.61,0.41,0.43,0.24,0.64,0.30,0.56,-0.13,-0.38,-0.39,-0.16,-0.44,0.85,0.73,0.85,0.23,-0.26,-0.28
DAT Volume at 175 HU,0.30,0.60,0.63,0.63,0.44,0.46,0.26,0.66,0.31,0.58,-0.14,-0.40,-0.41,-0.18,-0.46,0.83,0.73,0.83,0.23,-0.27,-0.27
DAT Volume at 200 HU,0.30,0.61,0.64,0.64,0.45,0.47,0.28,0.67,0.31,0.59,-0.14,-0.41,-0.42,-0.19,-0.47,0.83,0.73,0.82,0.23,-0.28,-0.26
DAT Volume at 225 HU,0.31,0.62,0.64,0.65,0.46,0.48,0.28,0.68,0.32,0.59,-0.14,-0.42,-0.43,-0.19,-0.48,0.82,0.73,0.81,0.23,-0.29,-0.26
DAT Volume at 250 HU,0.31,0.63,0.65,0.65,0.46,0.48,0.29,0.68,0.32,0.59,-0.14,-0.42,-0.43,-0.19,-0.48,0.82,0.72,0.81,0.23,-0.29,-0.25
DAT Volume at 275 HU,0.31,0.63,0.65,0.66,0.47,0.49,0.29,0.68,0.32,0.60,-0.14,-0.42,-0.44,-0.20,-0.48,0.82,0.72,0.80,0.24,-0.29,-0.25
DAT Volume at 300 HU,0.31,0.63,0.65,0.66,0.47,0.49,0.29,0.68,0.32,0.60,-0.14,-0.43,-0.44,-0.20,-0.49,0.82,0.72,0.80,0.24,-0.29,-0.25
Static + Dynamic AT Volume (at 5 HU),0.00,-0.58,-0.84,-0.45,-0.55,-0.55,-0.08,-0.53,0.31,-0.25,0.75,0.87,0.70,0.88,0.32,-0.19,0.92,-0.47,0.39,0.45,0.08
Static + Dynamic AT Volume (at 25 HU),-0.01,-0.59,-0.84,-0.46,-0.56,-0.56,-0.09,-0.54,0.33,-0.23,0.75,0.88,0.71,0.90,0.31,-0.16,0.90,-0.44,0.40,0.46,0.06
Static + Dynamic AT Volume (at 50 HU),-0.03,-0.61,-0.83,-0.47,-0.61,-0.61,-0.12,-0.55,0.33,-0.20,0.72,0.86,0.71,0.90,0.32,-0.09,0.93,-0.38,0.42,0.43,0.06
Static + Dynamic AT Volume (at 75 HU),0.02,-0.57,-0.82,-0.41,-0.59,-0.59,-0.10,-0.50,0.36,-0.15,0.72,0.85,0.69,0.90,0.29,-0.00,0.94,-0.29,0.45,0.43,0.03
Static + Dynamic AT Volume (at 100 HU),0.06,-0.52,-0.80,-0.37,-0.55,-0.55,-0.05,-0.45,0.40,-0.13,0.75,0.84,0.66,0.90,0.25,0.03,0.94,-0.28,0.48,0.42,0.01
Static + Dynamic AT Volume (at 125 HU),0.09,-0.49,-0.78,-0.34,-0.52,-0.52,-0.03,-0.42,0.42,-0.11,0.77,0.83,0.65,0.90,0.22,0.04,0.94,-0.27,0.50,0.41,0.01
Static + Dynamic AT Volume (at 150 HU),0.10,-0.48,-0.78,-0.33,-0.50,-0.50,-0.01,-0.41,0.44,-0.09,0.77,0.82,0.64,0.91,0.21,0.04,0.94,-0.28,0.51,0.40,0.01
Static + Dynamic AT Volume (at 175 HU),0.11,-0.47,-0.77,-0.32,-0.50,-0.49,-0.00,-0.40,0.44,-0.09,0.78,0.82,0.63,0.91,0.20,0.04,0.94,-0.28,0.52,0.40,0.02
Static + Dynamic AT Volume (at 200 HU),0.11,-0.47,-0.77,-0.31,-0.49,-0.49,0.00,-0.39,0.45,-0.08,0.78,0.82,0.63,0.91,0.20,0.04,0.94,-0.28,0.52,0.40,0.02
Static + Dynamic AT Volume (at 225 HU),0.11,-0.46,-0.77,-0.31,-0.49,-0.49,0.01,-0.39,0.45,-0.08,0.78,0.82,0.63,0.91,0.19,0.04,0.94,-0.29,0.52,0.40,0.02
Static + Dynamic AT Volume (at 250 HU),0.11,-0.46,-0.77,-0.31,-0.49,-0.49,0.01,-0.39,0.45,-0.08,0.78,0.82,0.63,0.91,0.19,0.04,0.94,-0.29,0.52,0.40,0.02
Static + Dynamic AT Volume (at 275 HU),0.12,-0.46,-0.77,-0.31,-0.49,-0.48,0.01,-0.39,0.45,-0.08,0.78,0.82,0.63,0.91,0.19,0.04,0.94,-0.29,0.52,0.40,0.02
Static + Dynamic AT Volume (at 300 HU),0.12,-0.46,-0.77,-0.31,-0.49,-0.48,0.01,-0.39,0.45,-0.08,0.78,0.82,0.63,0.91,0.19,0.04,0.94,-0.29,0.52,0.40,0.02
Calculated FVC,0.60,0.64,0.38,0.55,0.47,0.51,0.56,0.64,0.26,0.45,-0.07,-0.56,-0.64,-0.42,-0.55,0.04,-0.26,0.03,0.07,-0.49,0.26
