p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,1.9325e-01,2.8989e-01,1.6774e-03,5.9724e-01,1.6304e-01,1.9106e-01,4.0682e-01,4.5809e-01,3.1532e-02,8.1669e-01,3.9136e-04,6.0470e-03,9.6696e-02,2.0678e-04,9.5559e-01,8.7026e-01,2.9935e-03,3.1438e-01,3.6678e-02,3.6582e-01,7.8149e-01
Segmented Lung Expiration,7.2841e-01,5.5854e-02,2.9453e-04,2.1651e-01,4.7592e-02,4.9750e-02,9.9768e-01,1.1133e-01,1.1331e-01,7.6498e-01,1.1109e-03,2.6216e-04,1.3682e-02,5.3321e-06,4.8967e-01,9.1211e-01,7.9821e-03,3.5857e-01,8.7490e-02,1.9044e-01,9.9932e-01
Emphysema Volume,9.5853e-01,1.6142e-02,1.9787e-05,7.0640e-02,2.1968e-02,2.1214e-02,7.8017e-01,3.0134e-02,2.7269e-01,3.9833e-01,2.1171e-03,7.2737e-05,6.0425e-03,4.0721e-05,2.7534e-01,5.5231e-01,5.8419e-03,1.1745e-01,2.0427e-01,1.5285e-01,7.8146e-01
Non Emphysema Volume,2.9184e-01,2.0113e-02,2.1448e-02,7.0115e-03,9.6607e-02,7.6469e-02,2.6065e-01,7.0067e-03,1.9671e-01,3.2565e-02,8.7698e-01,3.3386e-01,2.8796e-01,8.9097e-01,1.2196e-01,8.1339e-04,8.3417e-02,3.4565e-03,3.4746e-01,5.2562e-01,3.1162e-01
Segmented - DAT at 5 HU,1.6073e-01,3.2627e-01,2.1221e-03,6.4433e-01,1.7535e-01,2.0584e-01,3.7055e-01,5.0483e-01,2.8927e-02,7.7793e-01,4.3796e-04,8.8879e-03,1.2019e-01,3.8963e-04,9.9613e-01,8.5463e-01,4.0192e-03,3.2248e-01,3.3186e-02,4.1161e-01,7.3920e-01
Segmented - DAT at 25 HU,1.0135e-01,4.6266e-01,3.9846e-03,7.9454e-01,2.5673e-01,2.9952e-01,2.6524e-01,6.6220e-01,2.6974e-02,7.1578e-01,6.8071e-04,2.1344e-02,1.9573e-01,1.8076e-03,8.7886e-01,8.8848e-01,9.9734e-03,3.0552e-01,3.4161e-02,5.2066e-01,6.8516e-01
Segmented - DAT at 50 HU,1.0459e-01,5.1560e-01,4.0151e-03,7.9791e-01,3.7341e-01,4.1738e-01,2.2948e-01,6.9194e-01,2.9116e-02,8.4837e-01,1.8082e-04,1.5024e-02,1.8062e-01,1.6029e-03,8.6312e-01,8.4579e-01,5.0474e-03,1.5385e-01,4.5772e-02,4.2566e-01,6.5571e-01
Segmented - DAT at 75 HU,2.1458e-01,2.7849e-01,8.8209e-04,4.8349e-01,2.3516e-01,2.6057e-01,3.6094e-01,3.8279e-01,4.9661e-02,9.0772e-01,8.7945e-05,4.5193e-03,9.7792e-02,5.4633e-04,9.2185e-01,5.7148e-01,2.1048e-03,6.4912e-02,7.2125e-02,3.4916e-01,5.8304e-01
Segmented - DAT at 100 HU,3.1707e-01,1.6036e-01,2.4810e-04,3.3326e-01,1.2936e-01,1.4853e-01,5.0500e-01,2.3787e-01,7.5816e-02,8.1058e-01,2.5497e-04,2.2760e-03,5.9538e-02,2.7813e-04,7.4079e-01,5.3566e-01,1.4096e-03,6.4282e-02,9.2921e-02,3.0732e-01,5.8132e-01
Segmented - DAT at 125 HU,3.7362e-01,1.1955e-01,1.3183e-04,2.7253e-01,9.4217e-02,1.0897e-01,5.8823e-01,1.8497e-01,9.3494e-02,7.5558e-01,3.9273e-04,1.6117e-03,4.6242e-02,2.1452e-04,6.5671e-01,5.2782e-01,1.2283e-03,6.8327e-02,1.0639e-01,2.8624e-01,5.9187e-01
Segmented - DAT at 150 HU,4.0509e-01,1.0145e-01,9.3564e-05,2.4159e-01,7.9765e-02,9.1384e-02,6.3825e-01,1.6037e-01,1.0496e-01,7.1688e-01,4.4908e-04,1.2823e-03,3.9895e-02,1.8719e-04,6.1225e-01,5.2715e-01,1.1699e-03,7.2241e-02,1.1495e-01,2.7255e-01,6.0252e-01
Segmented - DAT at 175 HU,4.1919e-01,9.4261e-02,8.0420e-05,2.2910e-01,7.4133e-02,8.4390e-02,6.6064e-01,1.5041e-01,1.1029e-01,6.9967e-01,4.7214e-04,1.1521e-03,3.7294e-02,1.7564e-04,5.9319e-01,5.2871e-01,1.1515e-03,7.4710e-02,1.1890e-01,2.6611e-01,6.0862e-01
