correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,3.3179e-01,-2.7255e-01,-7.0211e-01,-1.3805e-01,-3.5421e-01,-3.3333e-01,2.1520e-01,-1.9296e-01,5.7483e-01,6.8242e-02,8.1433e-01,6.9254e-01,4.6150e-01,8.3433e-01,1.6414e-02,5.2918e-02,9.5499e-01,-3.1763e-01,6.0616e-01,2.8696e-01,8.9749e-02
Segmented Lung Expiration,9.0972e-02,-4.7183e-01,-7.7059e-01,-3.1605e-01,-4.8665e-01,-4.8261e-01,7.6360e-04,-4.0031e-01,4.4228e-01,-8.7940e-02,7.7573e-01,8.2718e-01,6.4006e-01,9.1256e-01,2.0151e-01,3.5776e-02,9.2614e-01,-2.9114e-01,5.1382e-01,4.0592e-01,2.7740e-04
Emphysema Volume,1.3651e-02,-5.7326e-01,-8.4480e-01,-4.4896e-01,-5.5070e-01,-5.5334e-01,-7.3173e-02,-5.2590e-01,3.1498e-01,-2.4511e-01,7.4750e-01,8.6228e-01,6.9258e-01,8.7560e-01,3.1333e-01,-1.9090e-01,9.3693e-01,-4.7635e-01,3.9462e-01,4.3949e-01,8.9760e-02
Non Emphysema Volume,2.7149e-01,5.5732e-01,5.5251e-01,6.2745e-01,4.1616e-01,4.4092e-01,2.8896e-01,6.2749e-01,3.6705e-01,5.7202e-01,-4.5600e-02,-2.7911e-01,-3.0562e-01,-4.0384e-02,-4.3302e-01,8.3091e-01,7.5387e-01,7.6908e-01,2.9762e-01,-2.0360e-01,-3.1935e-01
Segmented - DAT at 5 HU,1.0728e-01,-4.6499e-01,-7.7059e-01,-3.0860e-01,-4.8688e-01,-4.8258e-01,9.9149e-03,-3.9282e-01,4.5024e-01,-7.9476e-02,7.7948e-01,8.1787e-01,6.2709e-01,9.0605e-01,1.9218e-01,4.1365e-02,9.4081e-01,-2.8886e-01,5.2451e-01,3.9068e-01,1.3636e-02
Segmented - DAT at 25 HU,1.4114e-01,-4.3684e-01,-7.6875e-01,-2.8350e-01,-4.6198e-01,-4.5690e-01,4.2921e-02,-3.6611e-01,4.5096e-01,-7.8781e-02,7.8059e-01,7.9831e-01,6.0324e-01,8.8385e-01,1.7979e-01,2.7605e-02,9.4910e-01,-3.0235e-01,5.2341e-01,3.6611e-01,2.3136e-02
Segmented - DAT at 50 HU,1.5234e-01,-4.0320e-01,-7.6223e-01,-2.7074e-01,-3.9566e-01,-3.9319e-01,7.6138e-02,-3.4250e-01,4.4052e-01,-1.2556e-01,8.1364e-01,8.1534e-01,6.0854e-01,8.8032e-01,1.7260e-01,-6.9121e-02,9.2624e-01,-4.0245e-01,4.9436e-01,4.0603e-01,3.3121e-02
Segmented - DAT at 75 HU,8.2544e-02,-4.7297e-01,-7.9352e-01,-3.5247e-01,-4.3790e-01,-4.3868e-01,2.4397e-02,-4.2587e-01,3.9442e-01,-1.8907e-01,8.0833e-01,8.4408e-01,6.4415e-01,8.8214e-01,2.2134e-01,-1.7195e-01,9.1714e-01,-4.9445e-01,4.5053e-01,4.1966e-01,7.0993e-02
Segmented - DAT at 100 HU,3.9308e-02,-5.2652e-01,-8.2067e-01,-3.9998e-01,-4.9585e-01,-4.9439e-01,-2.2321e-02,-4.7885e-01,3.5833e-01,-2.0988e-01,7.7421e-01,8.5647e-01,6.7392e-01,8.8619e-01,2.6836e-01,-1.8631e-01,9.1481e-01,-4.9561e-01,4.2683e-01,4.2988e-01,7.9117e-02
Segmented - DAT at 125 HU,1.8624e-02,-5.5126e-01,-8.3150e-01,-4.2286e-01,-5.2225e-01,-5.2111e-01,-4.7058e-02,-5.0324e-01,3.3771e-01,-2.2362e-01,7.5752e-01,8.6153e-01,6.8742e-01,8.8526e-01,2.9182e-01,-1.8902e-01,9.1433e-01,-4.8860e-01,4.1182e-01,4.3628e-01,7.7664e-02
Segmented - DAT at 150 HU,7.4000e-03,-5.6401e-01,-8.3616e-01,-4.3588e-01,-5.3474e-01,-5.3505e-01,-6.1760e-02,-5.1615e-01,3.2485e-01,-2.3461e-01,7.5006e-01,8.6486e-01,6.9478e-01,8.8368e-01,3.0494e-01,-1.8861e-01,9.1414e-01,-4.8146e-01,4.0190e-01,4.4116e-01,7.4296e-02
Segmented - DAT at 175 HU,2.5946e-03,-5.6935e-01,-8.3791e-01,-4.4126e-01,-5.3985e-01,-5.4097e-01,-6.8114e-02,-5.2159e-01,3.1917e-01,-2.3953e-01,7.4693e-01,8.6633e-01,6.9797e-01,8.8295e-01,3.1061e-01,-1.8760e-01,9.1409e-01,-4.7728e-01,3.9742e-01,4.4358e-01,7.2235e-02
Segmented - DAT at 200 HU,1.2767e-04,-5.7202e-01,-8.3870e-01,-4.4393e-01,-5.4238e-01,-5.4395e-01,-7.1342e-02,-5.2437e-01,3.1612e-01,-2.4218e-01,7.4526e-01,8.6710e-01,6.9966e-01,8.8253e-01,3.1362e-01,-1.8687e-01,9.1403e-01,-4.7482e-01,3.9500e-01,4.4491e-01,7.0982e-02
Segmented - DAT at 225 HU,-1.4408e-03,-5.7374e-01,-8.3922e-01,-4.4566e-01,-5.4402e-01,-5.4590e-01,-7.3466e-02,-5.2615e-01,3.1407e-01,-2.4396e-01,7.4413e-01,8.6759e-01,7.0077e-01,8.8223e-01,3.1564e-01,-1.8629e-01,9.1399e-01,-4.7312e-01,3.9343e-01,4.4578e-01,7.0236e-02
Segmented - DAT at 250 HU,-2.3936e-03,-5.7480e-01,-8.3955e-01,-4.4675e-01,-5.4506e-01,-5.4712e-01,-7.4803e-02,-5.2725e-01,3.1277e-01,-2.4507e-01,7.4339e-01,8.6788e-01,7.0144e-01,8.8201e-01,3.1691e-01,-1.8592e-01,9.1396e-01,-4.7208e-01,3.9247e-01,4.4630e-01,6.9847e-02
Segmented - DAT at 275 HU,-2.8709e-03,-5.7535e-01,-8.3973e-01,-4.4732e-01,-5.4561e-01,-5.4776e-01,-7.5500e-02,-5.2781e-01,3.1212e-01,-2.4564e-01,7.4301e-01,8.6802e-01,7.0178e-01,8.8189e-01,3.1755e-01,-1.8573e-01,9.1395e-01,-4.7155e-01,3.9198e-01,4.4656e-01,6.9674e-02
Segmented - DAT at 300 HU,-3.1483e-03,-5.7568e-01,-8.3985e-01,-4.4767e-01,-5.4596e-01,-5.4816e-01,-7.5927e-02,-5.2814e-01,3.1173e-01,-2.4596e-01,7.4279e-01,8.6810e-01,7.0198e-01,8.8182e-01,3.1793e-01,-1.8560e-01,9.1395e-01,-4.7123e-01,3.9170e-01,4.4672e-01,6.9572e-02
Normal Lung (at 5 HU),3.0072e-01,6.1427e-01,6.2548e-01,6.6322e-01,4.5837e-01,4.8230e-01,3.0546e-01,6.7416e-01,3.2977e-01,5.9514e-01,-1.2618e-01,-4.0117e-01,-4.1601e-01,-1.6984e-01,-4.7599e-01,8.1657e-01,7.3559e-01,7.8722e-01,2.5737e-01,-2.9666e-01,-2.6977e-01
Normal Lung (at 25 HU),3.1409e-01,7.2779e-01,7.5566e-01,7.1859e-01,5.9183e-01,6.1317e-01,3.4305e-01,7.5548e-01,1.2753e-01,5.4026e-01,-3.7789e-01,-6.7594e-01,-6.3212e-01,-5.1436e-01,-5.0481e-01,6.3240e-01,9.6676e-03,7.2313e-01,2.9462e-02,-4.4736e-01,-2.1278e-01
Normal Lung (at 50 HU),3.8713e-01,8.0111e-01,7.0237e-01,7.5556e-01,7.4589e-01,7.6189e-01,4.6538e-01,8.1287e-01,1.1961e-01,4.5323e-01,-2.9903e-01,-6.5485e-01,-6.4252e-01,-5.3323e-01,-5.4897e-01,4.3045e-01,-3.4707e-01,5.0616e-01,-2.1829e-02,-3.7133e-01,-1.9933e-01
Normal Lung (at 75 HU),3.7542e-01,7.8234e-01,6.1930e-01,7.1193e-01,8.4251e-01,8.5384e-01,5.6847e-01,7.6208e-01,2.2159e-01,3.8936e-01,-8.2828e-02,-5.1675e-01,-5.7625e-01,-4.0547e-01,-5.9474e-01,1.8996e-01,-8.2281e-02,1.6546e-01,5.5990e-02,-3.4489e-01,-1.4062e-01
Normal Lung (at 100 HU),2.5916e-01,5.0028e-01,2.8407e-01,5.1713e-01,5.8127e-01,6.2291e-01,5.1836e-01,5.0120e-01,3.2905e-01,3.6041e-01,1.0008e-01,-2.1187e-01,-2.9533e-01,-6.7784e-02,-4.6016e-01,7.7331e-02,1.8154e-01,-7.7756e-02,2.0764e-01,-1.9898e-01,-1.1978e-01
Normal Lung (at 125 HU),7.0193e-02,1.1458e-01,-8.4913e-02,2.0746e-01,2.0703e-01,2.5633e-01,3.2379e-01,1.3796e-01,3.3544e-01,2.2499e-01,2.5112e-01,1.3706e-01,5.3416e-02,2.6839e-01,-2.1375e-01,-8.9070e-03,2.8832e-01,-2.2959e-01,2.7638e-01,1.6455e-02,-1.4140e-01
Normal Lung (at 150 HU),-8.6670e-02,-1.7150e-01,-3.2774e-01,-4.6369e-02,-5.8163e-02,-2.4623e-02,1.3209e-01,-1.3822e-01,2.8523e-01,5.1438e-02,3.6308e-01,4.1331e-01,3.3371e-01,5.0182e-01,9.8847e-03,-4.8364e-02,3.3058e-01,-2.8284e-01,2.7981e-01,2.0842e-01,-2.0047e-01
Normal Lung (at 175 HU),-1.6105e-01,-3.0892e-01,-4.3793e-01,-1.7067e-01,-1.8791e-01,-1.6618e-01,3.0608e-02,-2.7226e-01,2.4289e-01,-4.9462e-02,4.1044e-01,5.4784e-01,4.7366e-01,6.0746e-01,1.3285e-01,-5.5046e-02,3.5038e-01,-2.8272e-01,2.6631e-01,3.0974e-01,-2.3335e-01
Normal Lung (at 200 HU),-1.9766e-01,-3.7708e-01,-4.9022e-01,-2.3311e-01,-2.5296e-01,-2.3844e-01,-2.2513e-02,-3.3984e-01,2.1339e-01,-1.0533e-01,4.2783e-01,6.1143e-01,5.4209e-01,6.5337e-01,1.9887e-01,-5.4286e-02,3.5958e-01,-2.7261e-01,2.5227e-01,3.6053e-01,-2.5027e-01
Normal Lung (at 225 HU),-2.1988e-01,-4.1791e-01,-5.2015e-01,-2.7134e-01,-2.9283e-01,-2.8313e-01,-5.6879e-02,-3.8053e-01,1.9097e-01,-1.4158e-01,4.3399e-01,6.4727e-01,5.8224e-01,6.7690e-01,2.4117e-01,-5.1202e-02,3.6345e-01,-2.6130e-01,2.4038e-01,3.9047e-01,-2.5895e-01
Normal Lung (at 250 HU),-2.3299e-01,-4.4141e-01,-5.3662e-01,-2.9399e-01,-3.1622e-01,-3.0942e-01,-7.8060e-02,-4.0399e-01,1.7591e-01,-1.6359e-01,4.3533e-01,6.6652e-01,6.0465e-01,6.8830e-01,2.6662e-01,-4.8944e-02,3.6469e-01,-2.5345e-01,2.3224e-01,4.0694e-01,-2.6269e-01
Normal Lung (at 275 HU),-2.3942e-01,-4.5314e-01,-5.4480e-01,-3.0546e-01,-3.2814e-01,-3.2279e-01,-8.8960e-02,-4.1561e-01,1.6818e-01,-1.7455e-01,4.3568e-01,6.7570e-01,6.1546e-01,6.9350e-01,2.7927e-01,-4.7691e-02,3.6510e-01,-2.4924e-01,2.2795e-01,4.1504e-01,-2.6400e-01
Normal Lung (at 300 HU),-2.4318e-01,-4.5989e-01,-5.4941e-01,-3.1214e-01,-3.3521e-01,-3.3068e-01,-9.5574e-02,-4.2216e-01,1.6356e-01,-1.8083e-01,4.3558e-01,6.8082e-01,6.2162e-01,6.9632e-01,2.8666e-01,-4.6608e-02,3.6514e-01,-2.4638e-01,2.2543e-01,4.1963e-01,-2.6474e-01
Calculated FVC,6.0432e-01,6.4207e-01,3.7853e-01,5.4617e-01,4.7162e-01,5.1447e-01,5.5895e-01,6.4456e-01,2.6205e-01,4.4791e-01,-7.1487e-02,-5.5777e-01,-6.3536e-01,-4.2276e-01,-5.5307e-01,3.5086e-02,-2.6315e-01,3.2072e-02,7.1497e-02,-4.9268e-01,2.5718e-01
