p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented Lung Inspiration,1.9325e-01,2.8989e-01,1.6774e-03,5.9724e-01,1.6304e-01,1.9106e-01,4.0682e-01,4.5809e-01,3.1532e-02,8.1669e-01,3.9136e-04,6.0470e-03,9.6696e-02,2.0678e-04,9.5559e-01,8.7026e-01,2.9935e-03,3.1438e-01,3.6678e-02,3.6582e-01,7.8149e-01
Segmented Lung Expiration,7.2841e-01,5.5854e-02,2.9453e-04,2.1651e-01,4.7592e-02,4.9750e-02,9.9768e-01,1.1133e-01,1.1331e-01,7.6498e-01,1.1109e-03,2.6216e-04,1.3682e-02,5.3321e-06,4.8967e-01,9.1211e-01,7.9821e-03,3.5857e-01,8.7490e-02,1.9044e-01,9.9932e-01
Emphysema Volume,9.5853e-01,1.6142e-02,1.9787e-05,7.0640e-02,2.1968e-02,2.1214e-02,7.8017e-01,3.0134e-02,2.7269e-01,3.9833e-01,2.1171e-03,7.2737e-05,6.0425e-03,4.0721e-05,2.7534e-01,5.5231e-01,5.8419e-03,1.1745e-01,2.0427e-01,1.5285e-01,7.8146e-01
Non Emphysema Volume,2.9184e-01,2.0113e-02,2.1448e-02,7.0115e-03,9.6607e-02,7.6469e-02,2.6065e-01,7.0067e-03,1.9671e-01,3.2565e-02,8.7698e-01,3.3386e-01,2.8796e-01,8.9097e-01,1.2196e-01,8.1339e-04,8.3417e-02,3.4565e-03,3.4746e-01,5.2562e-01,3.1162e-01
Segmented - DAT at 5 HU,6.8195e-01,6.0012e-02,2.9457e-04,2.2814e-01,4.7473e-02,4.9766e-02,9.6987e-01,1.1882e-01,1.0620e-01,7.8710e-01,1.0130e-03,3.5152e-04,1.6382e-02,8.0894e-06,5.1041e-01,8.9843e-01,5.1517e-03,3.6251e-01,7.9996e-02,2.0924e-01,9.6645e-01
Segmented - DAT at 25 HU,5.8896e-01,7.9556e-02,3.1090e-04,2.7017e-01,6.1909e-02,6.5220e-02,8.7008e-01,1.4838e-01,1.0558e-01,7.8893e-01,9.8525e-04,6.1958e-04,2.2380e-02,2.7482e-05,5.3853e-01,9.3213e-01,3.8196e-03,3.3948e-01,8.0745e-02,2.4182e-01,9.4310e-01
Segmented - DAT at 50 HU,5.5942e-01,1.0854e-01,3.7516e-04,2.9323e-01,1.1594e-01,1.1844e-01,7.7148e-01,1.7838e-01,1.1492e-01,6.6887e-01,3.9957e-04,3.7964e-04,2.0923e-02,3.2629e-05,5.5515e-01,8.3098e-01,7.9609e-03,1.9462e-01,1.0231e-01,1.9031e-01,9.1861e-01
Segmented - DAT at 75 HU,7.5280e-01,5.5188e-02,1.4368e-04,1.6527e-01,7.8744e-02,7.8154e-02,9.2595e-01,8.8304e-02,1.6285e-01,5.1740e-01,4.6717e-04,1.4694e-04,1.2906e-02,2.9882e-05,4.4696e-01,5.9308e-01,1.0013e-02,1.0224e-01,1.4161e-01,1.7443e-01,8.2646e-01
Segmented - DAT at 100 HU,8.8094e-01,2.9908e-02,5.4325e-05,1.1166e-01,4.2947e-02,4.3661e-02,9.3224e-01,5.1821e-02,2.0838e-01,4.7143e-01,1.1528e-03,9.1960e-05,8.2227e-03,2.4450e-05,3.5359e-01,5.6206e-01,1.0576e-02,1.0131e-01,1.6642e-01,1.6309e-01,8.0691e-01
Segmented - DAT at 125 HU,9.4344e-01,2.1808e-02,3.5194e-05,9.0821e-02,3.1510e-02,3.1949e-02,8.5767e-01,3.9473e-02,2.3765e-01,4.4218e-01,1.7004e-03,7.5000e-05,6.5944e-03,2.5623e-05,3.1137e-01,5.5629e-01,1.0695e-02,1.0700e-01,1.8347e-01,1.5622e-01,8.1040e-01
Segmented - DAT at 150 HU,9.7751e-01,1.8362e-02,2.8935e-05,8.0296e-02,2.6996e-02,2.6890e-02,8.1384e-01,3.3918e-02,2.5711e-01,4.1947e-01,2.0036e-03,6.5297e-05,5.8193e-03,2.7704e-05,2.8909e-01,5.5718e-01,1.0741e-02,1.1301e-01,1.9530e-01,1.5111e-01,8.1850e-01
Segmented - DAT at 175 HU,9.9211e-01,1.7055e-02,2.6845e-05,7.6216e-02,2.5296e-02,2.4938e-02,7.9506e-01,3.1767e-02,2.6601e-01,4.0948e-01,2.1428e-03,6.1355e-05,5.5059e-03,2.8719e-05,2.7975e-01,5.5932e-01,1.0754e-02,1.1663e-01,2.0080e-01,1.4862e-01,8.2347e-01
